date,forecasted_vol,actual_vol_proxy
2022-01-07,0.20408969419885173,0.9548333399424584
2022-01-10,0.7022962504035736,0.042730867972010464
2022-01-11,0.48858217733760045,0.33776822902768466
2022-01-12,0.41629026027113514,0.0
2022-01-13,0.2859355762656838,0.0
2022-01-14,0.19419362783266145,0.0
2022-01-17,0.12730754388626964,0.0
2022-01-18,0.6417773751530129,0.0
2022-01-19,0.06611121869564185,0.0
2022-01-20,0.024707597994066372,0.0
2022-01-21,0.006741826697864159,0.0
2022-01-24,0.003287520067738732,0.0
2022-01-25,0.0020132484949024693,0.0
2022-01-26,0.37757858015641765,0.0
2022-01-27,0.0001617218835790324,0.0
2022-01-28,0.0001422010802808412,0.6145738281557261
2022-01-31,0.5344905702058917,0.39688336852982603
2022-02-01,0.36885058986369307,0.19720139143745286
2022-02-02,0.25908165520394155,0.0
2022-02-03,0.38525048965967545,0.023793920816986013
2022-02-04,0.055222568646183426,0.10336555542543657
2022-02-07,0.11578382071572006,0.16034992769689183
2022-02-08,0.14733383233005465,0.0
2022-02-09,0.07275584914434544,0.0
2022-02-10,0.04892316957601703,0.08037742673909444
2022-02-11,0.21438326396280316,0.04003661104912888
2022-02-14,0.05355883147486978,0.039935889908666894
2022-02-15,0.04254862635590805,0.07957163460844738
2022-02-16,0.072317730031551,0.015882450415793045
2022-02-17,0.03827916390155999,0.023853509922319865
2022-02-18,0.028427705564486434,0.023853509922319865
2022-02-21,0.02495182742141994,0.0
2022-02-22,0.012381295794351665,0.015882450415793045
2022-02-23,0.01587190591021025,0.0
2022-02-24,0.009474724034220302,0.07917476695092145
2022-02-25,0.06311703999445532,0.0
2022-02-28,0.03846909835648772,0.15717462920071518
2022-03-01,0.12658315944690787,0.0
2022-03-02,0.0771671073438005,0.07800756663670558
2022-03-03,0.0774287373635926,0.038955867074418775
2022-03-04,0.05624315154535796,0.0
2022-03-07,0.033526323245591336,0.038955867074418775
2022-03-08,0.03636161025962398,0.0
2022-03-09,0.09931038474859315,0.15487447591604342
2022-03-10,0.12317672625346837,0.0
2022-03-11,0.0727529152620336,0.07724836589687627
2022-03-14,0.07662144208700938,0.0387656062398026
2022-03-15,0.0558287144058019,0.038765606239804185
2022-03-16,0.04601488118724225,0.0
2022-03-17,0.02759785911973607,0.03867117105191464
2022-03-18,0.03506756616776134,0.0
2022-03-21,0.01479773319823694,0.0
2022-03-22,0.012491333431210323,0.0
2022-03-23,0.007087236396408811,0.11629728107108019
2022-03-24,0.09238503129343553,0.0
2022-03-25,0.08703556393781355,0.23174875625090088
2022-03-28,0.18611332262367813,0.0
2022-03-29,0.11420626210123792,0.22841412587074017
2022-03-30,0.19391618161829258,0.2995279025167331
2022-03-31,0.26550683212749765,0.0
2022-04-01,0.16100753865533718,0.14905750704685575
2022-04-04,0.15336891816852272,0.0
2022-04-05,0.09633083767483767,0.0
2022-04-06,0.051274046813640575,0.455758801675475
2022-04-07,0.3636817672975427,0.0
2022-04-08,0.22119115181837964,0.19149216358724716
2022-04-11,0.20310015427105094,0.19673140467542546
2022-04-12,0.20366158233400283,0.1422389377045729
2022-04-13,0.1653961766205903,0.0
2022-04-14,0.09946437000909328,0.0
2022-04-19,0.05755360062109459,0.0
2022-04-20,0.03272571111315483,0.0
2022-04-21,0.009501933238145698,0.0
2022-04-22,0.004681874085818829,0.0
2022-04-25,0.0022688026362143415,0.07470370429176897
2022-04-26,0.0613275589228033,0.0
2022-04-27,0.03217538675833297,0.1490575070468573
2022-04-28,0.12359118169877226,0.037046709617541654
2022-04-29,0.13289254225846167,0.0
2022-05-04,0.043178134592511616,0.9340639804762311
2022-05-05,0.8113081828013291,0.0
2022-05-06,0.40234048417052615,1.4335102559466966
2022-05-09,26.26390288409154,0.5844037059295396
2022-05-10,0.6217912529129519,1.3983407427589478
2022-05-11,0.24214209465616107,0.030312225873201853
2022-05-12,0.23552821063522136,0.0
2022-05-13,0.31453641522034004,0.0973899242752288
2022-05-16,0.15951148091558193,0.27715654700714215
2022-05-17,0.2562629644975602,0.0
2022-05-18,0.1511858251698115,0.8762656804508913
2022-05-19,0.6168504163832875,1.2853440201247217
2022-05-20,1.1786457943270667,0.0
