date,forecasted_vol,actual_vol_proxy
2022-01-31,0.0013148367477002032,0.0
2022-02-01,1.7639572987446337e-05,0.0
2022-02-02,2.115296771904893e-15,0.0
2022-02-03,7.454403438884897e-05,0.0
2022-02-04,37.830158921999676,0.0
2022-02-07,0.00011743138512544998,0.0
2022-02-08,0.6083329573246302,0.0
2022-02-09,5654.089874205749,0.0
2022-02-10,6.72823595916125e-50,0.0
2022-02-11,0.37141036801413396,0.264476300015115
2022-02-14,4.8398856016521576e-05,0.0
2022-02-15,1.007163539697494e-05,0.1264907717765676
2022-02-16,283991807465683.3,0.0
2022-02-17,4.471100062862756e-05,0.0
2022-02-18,3.142171064224815e-05,0.0
2022-02-21,2.1169310642227873e-05,0.0
2022-02-22,2.128423524548845e+153,0.0
2022-02-23,3.86442885931329e-69,0.0
2022-02-24,6.781690779374051e+101,0.0
2022-02-25,0.021159208725589428,0.0
2022-02-28,2.0947397795496923e-21,0.0
2022-03-01,0.0,0.0
2022-03-02,2.4422102264141613e+48,0.0
2022-03-03,1.0144453745651413e-39,0.0
2022-03-04,0.0,0.0
2022-03-07,2.128423524548845e+153,0.0
2022-03-08,2.128423524548845e+153,0.0
2022-03-09,0.0,0.0
2022-03-10,0.0,0.0
2022-03-11,2.128423524548845e+153,0.0
2022-03-14,1.9958708880567193e-10,0.0
2022-03-15,0.0,0.0
2022-03-16,0.0,0.0
2022-03-17,3.023086840879573,0.0
2022-03-18,8.67502256648783e-06,0.0
2022-03-21,737228192.098742,0.0
2022-03-22,1.2076912016221317e-05,0.0
2022-03-23,3.980744253553497e-06,0.0
2022-03-24,8553519.358538413,0.0
2022-03-25,3.3200169358363655e-155,0.0
2022-03-28,106.56912585707997,0.0
2022-03-29,0.8492356215000422,0.0
2022-03-30,7.909657448012391e-06,0.005038726551237282
2022-03-31,1.9992415849634067e+102,0.0
2022-04-01,17.23136432804742,0.0
2022-04-04,0.5127463850448075,0.0
2022-04-05,0.0,0.0
2022-04-06,1.3426887755577888e-11,0.0
2022-04-07,0.0,0.0
2022-04-08,2.128423524548845e+153,0.0
2022-04-11,2.6255604167665795e-06,0.0
2022-04-12,3532119708709199.0,0.0
2022-04-13,1.7630998376764393e-120,0.0
2022-04-14,1.0106555169360953e+27,0.0
2022-04-19,2.128423524548845e+153,0.7334436275893417
2022-04-20,5.265733507162228e-05,0.0
2022-04-21,5.3766087638285836e-05,0.0
2022-04-22,5.181713509906923e-05,0.0
2022-04-25,2.117816712869595e+27,0.0
2022-04-26,10.292627315359535,0.0
2022-04-27,3.8790053898139303,0.0
2022-04-28,0.0,0.774519844909988
2022-04-29,0.0,0.0
2022-05-04,7.745741840493443,0.15954413556624633
2022-05-05,2.128423524548845e+153,0.0
2022-05-06,1.0943607786327403e-57,0.0
2022-05-09,0.13222008060008206,0.0
2022-05-10,8.783755058480133e-12,0.0
2022-05-11,2.128423524548845e+153,0.0
2022-05-12,0.0,0.0
2022-05-13,4.629068188521366e-05,0.0
2022-05-16,4.564586921357375e+20,0.0
2022-05-17,3.5581803143127984e+25,0.0
2022-05-18,2999037489641.9526,0.0
2022-05-19,2.128423524548845e+153,0.774519844909988
2022-05-20,46018244405572.04,0.0
2022-05-23,0.00013998145247480723,0.0
2022-05-24,1.0640189210572932,1.4244000646686044
2022-05-25,3.427364496826297e+65,0.0
2022-05-26,2.128423524548845e+153,1.4968394541962586
2022-05-27,2.9192433105180566e+93,0.0
2022-05-30,4.908764518645846e+18,0.0
2022-05-31,0.0004259443111837974,0.0
2022-06-01,2336237.8706561476,0.008986418505696647
2022-06-02,1202.7364622133002,0.0
