"Date","Price","Open","High","Low","Vol.","Change %"
"09/14/2022","10.20","10.20","10.20","10.20","2.72M","0.00%"
"09/13/2022","10.20","10.25","10.20","10.15","1.59M","-0.49%"
"09/12/2022","10.25","10.60","10.30","10.25","1.31M","-3.30%"
"09/09/2022","10.60","10.60","10.60","10.60","3.81M","0.00%"
"09/08/2022","10.60","10.60","10.60","10.35","3.98M","0.00%"
"09/07/2022","10.60","10.50","10.60","10.40","2.01M","0.95%"
"09/06/2022","10.50","10.70","10.65","10.50","2.18M","-1.87%"
"09/05/2022","10.70","10.75","10.70","10.70","4.83M","-0.47%"
"09/02/2022","10.75","10.75","10.80","10.75","3.66M","0.00%"
"09/01/2022","10.75","11.15","10.85","10.75","1.92M","-3.59%"
"08/31/2022","11.15","10.90","11.15","10.85","22.43M","2.29%"
"08/30/2022","10.90","10.90","10.90","10.90","7.71M","0.00%"
"08/29/2022","10.90","10.85","10.90","10.85","23.06M","0.46%"
"08/26/2022","10.85","10.75","10.85","10.65","24.95M","0.93%"
"08/25/2022","10.75","10.75","10.75","10.75","23.43M","0.00%"
"08/24/2022","10.75","10.75","10.75","10.60","22.51M","0.00%"
"08/23/2022","10.75","10.75","10.75","10.05","22.09M","0.00%"
"08/22/2022","10.75","10.75","11.00","10.75","2.17M","0.00%"
"08/19/2022","10.75","10.70","11.10","10.75","37.77M","0.47%"
"08/18/2022","10.70","10.70","11.10","10.70","38.97M","0.00%"
"08/17/2022","10.70","10.75","10.75","10.65","28.37M","-0.47%"
"08/16/2022","10.75","10.75","11.00","10.65","36.83M","0.00%"
"08/15/2022","10.75","11.00","10.80","10.75","23.08M","-2.27%"
"08/12/2022","11.00","10.85","11.00","10.65","30.53M","1.38%"
"08/11/2022","10.85","10.80","10.85","10.80","5.15M","0.46%"
"08/10/2022","10.80","10.80","10.80","10.75","39.96M","0.00%"
"08/09/2022","10.80","10.80","10.80","10.70","2.38M","0.00%"
"08/08/2022","10.80","10.95","11.00","10.75","74.63M","-1.37%"
"08/05/2022","10.95","10.90","10.95","10.90","11.31M","0.46%"
"08/04/2022","10.90","10.95","11.00","10.70","4.75M","-0.46%"
"08/03/2022","10.95","10.95","10.95","10.85","9.53M","0.00%"
"08/02/2022","10.95","10.95","10.95","10.90","14.59M","0.00%"
"08/01/2022","10.95","11.00","10.95","10.60","14.31M","-0.45%"
"07/29/2022","11.00","11.00","11.00","10.55","15.24M","0.00%"
"07/28/2022","11.00","11.15","11.00","10.75","7.96M","-1.35%"
"07/27/2022","11.15","11.15","11.15","10.70","12.68M","0.00%"
"07/26/2022","11.15","11.00","11.15","10.60","9.95M","1.36%"
"07/25/2022","11.00","11.20","11.00","10.50","3.28M","-1.79%"
"07/22/2022","11.20","11.15","11.20","11.05","9.53M","0.45%"
"07/21/2022","11.15","11.25","11.15","10.90","1.56M","-0.89%"
"07/20/2022","11.25","11.20","11.25","10.60","17.86M","0.45%"
"07/19/2022","11.20","11.00","11.20","10.70","12.82M","1.82%"
"07/18/2022","11.00","10.90","11.00","10.50","8.16M","0.92%"
"07/15/2022","10.90","10.90","10.90","10.35","5.81M","0.00%"
"07/14/2022","10.90","10.70","10.90","10.20","7.41M","1.87%"
"07/13/2022","10.70","10.60","10.70","10.15","6.90M","0.94%"
"07/08/2022","10.60","10.60","10.90","10.10","831.20K","0.00%"
"07/07/2022","10.60","10.95","10.60","10.60","1.83M","-3.20%"
"07/06/2022","10.95","10.90","10.95","10.95","2.43M","0.46%"
"07/05/2022","10.90","11.55","11.10","10.90","5.83M","-5.63%"
"07/04/2022","11.55","11.60","11.55","10.85","11.63M","-0.43%"
"07/01/2022","11.60","11.60","11.60","10.75","5.97M","0.00%"
"06/30/2022","11.60","11.40","11.60","11.40","36.63M","1.75%"
"06/29/2022","11.40","11.20","11.40","11.10","23.16M","1.79%"
"06/28/2022","11.20","10.90","11.20","10.90","19.83M","2.75%"
"06/27/2022","10.90","10.55","10.90","10.40","13.36M","3.32%"
"06/24/2022","10.55","10.10","10.55","10.20","5.93M","4.46%"
"06/23/2022","10.10","9.20","10.10","9.20","12.36M","9.78%"
"06/22/2022","9.20","8.40","9.20","9.00","3.89M","9.52%"
"06/21/2022","8.40","9.00","8.75","8.20","11.33M","-6.67%"
"06/20/2022","9.00","9.70","9.70","9.00","12.57M","-7.22%"
"06/17/2022","9.70","10.25","9.80","9.40","9.15M","-5.37%"
"06/16/2022","10.25","9.90","10.40","9.70","10.29M","3.54%"
"06/15/2022","9.90","10.50","10.00","9.90","17.62M","-5.71%"
"06/14/2022","10.50","10.55","10.50","9.90","13.09M","-0.47%"
"06/10/2022","10.55","10.30","10.55","10.10","15.73M","2.43%"
"06/09/2022","10.30","10.30","10.40","10.00","13.34M","0.00%"
"06/08/2022","10.30","10.90","10.60","10.30","12.52M","-5.50%"
"06/07/2022","10.90","11.25","11.15","10.90","6.22M","-3.11%"
"06/06/2022","11.25","11.00","11.30","11.05","610.41M","2.27%"
"06/03/2022","11.00","11.10","11.35","11.00","53.13M","-0.90%"
"06/02/2022","11.10","11.35","11.35","11.10","74.66M","-2.20%"
"06/01/2022","11.35","11.90","11.55","11.35","6.70M","-4.62%"
"05/31/2022","11.90","11.85","11.90","11.25","5.45M","0.42%"
"05/30/2022","11.85","11.50","11.85","11.40","7.96M","3.04%"
"05/27/2022","11.50","10.80","11.80","10.80","17.96M","6.98%"
"05/26/2022","10.75","10.55","10.95","10.55","11.93M","1.90%"
"05/25/2022","10.55","11.55","11.25","10.40","30.62M","-8.66%"
"05/24/2022","11.55","11.95","11.85","11.50","15.02M","-3.35%"
"05/23/2022","11.95","12.00","11.95","11.80","2.95M","-0.42%"
"05/20/2022","12.00","12.00","12.00","11.85","10.81M","0.00%"
"05/19/2022","12.00","11.95","12.05","11.85","13.54M","0.42%"
"05/18/2022","11.95","12.35","12.40","11.95","153.34M","-3.24%"
"05/17/2022","12.35","11.95","12.35","11.75","7.95M","3.35%"
"05/16/2022","11.95","11.95","12.00","11.85","6.61M","0.00%"
"05/13/2022","11.95","12.20","12.00","11.80","6.47M","-2.05%"
"05/12/2022","12.20","12.30","12.20","12.00","14.05M","-0.81%"
"05/11/2022","12.30","12.40","12.40","12.25","8.86M","-0.81%"
"05/10/2022","12.40","12.10","12.40","12.00","14.09M","2.48%"
"05/09/2022","12.10","11.95","12.10","11.95","15.85M","1.26%"
"05/06/2022","11.95","11.90","12.00","11.50","6.60M","0.42%"
"05/05/2022","11.90","11.90","11.90","11.85","2.02M","0.00%"
"05/04/2022","11.90","12.00","11.95","11.90","4.06M","-0.83%"
"04/29/2022","12.00","11.90","12.00","11.85","16.50M","0.84%"
"04/28/2022","11.90","11.80","11.95","11.90","16.96M","0.85%"
"04/27/2022","11.80","12.05","11.95","11.80","3.51M","-2.07%"
"04/26/2022","12.05","12.00","12.05","11.85","18.45M","0.42%"
"04/25/2022","12.00","11.95","12.00","11.85","20.09M","0.42%"
"04/22/2022","11.95","11.95","11.95","11.75","11.08M","0.00%"
"04/21/2022","11.95","11.95","11.95","11.65","5.49M","0.00%"
"04/20/2022","11.95","11.95","11.95","11.70","2.34M","0.00%"
"04/19/2022","11.95","11.60","11.95","11.60","2.80M","3.02%"
"04/14/2022","11.60","11.60","11.65","11.60","2.58M","0.00%"
"04/13/2022","11.60","11.35","11.70","11.60","4.87M","2.20%"
"04/12/2022","11.35","11.80","11.95","11.35","5.63M","-3.81%"
"04/11/2022","11.80","11.80","11.80","11.60","1.79M","0.00%"
"04/08/2022","11.80","11.80","11.80","11.55","1.92M","0.00%"
"04/07/2022","11.80","11.80","11.80","11.55","3.80M","0.00%"
"04/06/2022","11.80","11.80","11.80","11.60","5.69M","0.00%"
"04/05/2022","11.80","11.80","11.80","11.60","7.12M","0.00%"
"04/04/2022","11.80","12.20","11.80","11.30","4.53M","-3.28%"
"04/01/2022","12.20","12.40","12.20","11.25","9.19M","-1.61%"
"03/31/2022","12.40","11.60","12.40","11.65","4.51M","6.90%"
"03/30/2022","11.60","11.70","11.70","11.60","2.90M","-0.85%"
"03/29/2022","11.70","11.60","11.70","11.60","18.52M","0.86%"
"03/28/2022","11.60","11.85","11.75","11.60","3.37M","-2.11%"
"03/25/2022","11.85","12.05","12.05","11.85","3.33M","-1.66%"
"03/24/2022","12.05","12.00","12.05","11.95","17.50M","0.42%"
"03/23/2022","12.00","12.00","12.00","11.85","5.06M","0.00%"
"03/22/2022","12.00","11.90","12.00","11.80","9.44M","0.84%"
"03/21/2022","11.90","11.90","11.90","11.75","6.84M","0.00%"
"03/18/2022","11.90","11.95","11.95","11.70","36.76M","-0.42%"
"03/17/2022","11.95","11.75","12.00","11.75","23.02M","1.70%"
"03/16/2022","11.75","11.60","11.75","11.55","3.05M","1.29%"
"03/15/2022","11.60","11.60","11.60","11.55","10.17M","0.00%"
"03/14/2022","11.60","11.55","11.60","11.05","1.97M","0.43%"
"03/11/2022","11.55","11.50","11.55","11.50","12.19M","0.43%"
"03/10/2022","11.50","11.50","11.55","11.50","7.97M","0.00%"
"03/09/2022","11.50","11.50","11.50","11.40","108.61M","3.14%"
"03/08/2022","11.15","11.40","11.35","11.10","9.71M","-2.19%"
"03/07/2022","11.40","11.25","11.40","11.25","3.57M","1.33%"
"03/04/2022","11.25","11.05","11.25","11.00","12.77M","1.81%"
"03/03/2022","11.05","11.10","11.10","11.00","13.98M","-0.45%"
"03/02/2022","11.10","11.50","11.15","11.05","5.88M","-3.48%"
"03/01/2022","11.50","11.50","11.50","11.00","1.56M","0.00%"
"02/28/2022","11.50","11.55","11.50","11.30","4.44M","-0.43%"
"02/25/2022","11.55","11.50","11.60","11.55","17.75M","0.43%"
"02/24/2022","11.50","11.45","11.60","11.40","7.01M","0.44%"
"02/23/2022","11.45","11.40","11.45","11.40","13.17M","0.44%"
"02/22/2022","11.40","11.35","11.40","11.40","3.32M","0.44%"
"02/21/2022","11.35","11.40","11.40","11.35","5.65M","-0.44%"
"02/18/2022","11.40","11.50","11.40","11.25","3.01M","-0.87%"
"02/17/2022","11.50","11.40","11.50","11.40","1.98M","0.88%"
"02/16/2022","11.40","11.40","11.40","11.20","4.07M","0.00%"
"02/15/2022","11.40","11.20","11.40","11.40","1.46M","1.79%"
"02/14/2022","11.20","11.20","11.25","11.20","11.88M","0.00%"
"02/11/2022","11.20","11.65","11.40","11.20","6.00M","-3.86%"
"02/10/2022","11.65","11.05","11.65","11.00","2.76M","5.43%"
"02/09/2022","11.05","11.00","11.10","11.05","5.03M","0.45%"
"02/08/2022","11.00","11.00","11.00","10.95","7.84M","0.00%"
"02/07/2022","11.00","11.10","11.20","11.00","13.46M","-0.90%"
"02/04/2022","11.10","11.40","11.30","11.05","3.30M","-2.63%"
"02/03/2022","11.40","11.45","11.55","11.00","27.95M","-0.44%"
"02/02/2022","11.45","11.35","11.45","11.40","11.88M","0.88%"
"02/01/2022","11.35","11.50","11.55","11.35","12.37M","-1.30%"
"01/31/2022","11.50","11.95","11.65","11.50","26.79M","-3.77%"
"01/28/2022","11.95","11.40","11.95","11.25","40.65M","4.82%"
"01/27/2022","11.40","11.55","11.50","11.35","5.26M","-1.30%"
"01/26/2022","11.55","11.70","11.65","11.55","2.65M","-1.28%"
"01/25/2022","11.70","11.80","11.75","11.70","3.60M","-0.85%"
"01/24/2022","11.80","12.00","12.00","11.80","14.42M","-1.67%"
"01/21/2022","12.00","12.00","12.00","11.70","18.37M","0.00%"
"01/20/2022","12.00","12.00","12.05","11.70","54.04M","0.00%"
"01/19/2022","12.00","12.00","12.05","12.00","23.09M","0.00%"
"01/18/2022","12.00","12.00","12.05","12.00","13.42M","0.00%"
"01/17/2022","12.00","12.00","12.00","12.00","25.50M","0.00%"
"01/14/2022","12.00","12.00","12.05","12.00","26.55M","0.00%"
"01/13/2022","12.00","12.00","12.05","11.90","12.59M","0.00%"
"01/12/2022","12.00","12.00","12.20","11.85","30.49M","0.00%"
"01/11/2022","12.00","12.00","12.00","11.75","16.51M","0.00%"
