Date,Price,Open,High,Low,Volume,log_return,simple_return,news_article_count,news_sentiment_score,news_negative_ratio,news_policy_mentions,news_policy_flag,news_volatility_adjustment,news_signal_strength,hist_vol_5d,hist_vol_10d,hist_vol_21d,hist_vol_63d,hist_vol_126d,hist_vol_252d,ma_5d,ma_ratio_5d,ma_10d,ma_ratio_10d,ma_20d,ma_ratio_20d,ma_50d,ma_ratio_50d,ma_200d,ma_ratio_200d,rsi_14d,macd,macd_signal,bb_middle,bb_upper,bb_lower,bb_width,atr_14d,price_lag_1,return_lag_1,vol_lag_1,price_lag_2,return_lag_2,vol_lag_2,price_lag_3,return_lag_3,vol_lag_3,price_lag_5,return_lag_5,vol_lag_5,price_lag_10,return_lag_10,vol_lag_10,target_vol_1d
2021-01-07,7.35,7.25,7.4,7.15,0,0.013698844358161927,0.01379310344827589,8.0,0.125,0.125,1.0,1.0,0.025,1,1.0162611406894655,0.6825267502939875,0.6705835688242973,0.5881018890590232,0.4661617674648154,0.5471127683828396,7.359999999999999,0.9986413043478262,7.220000000000001,1.018005540166205,7.072500000000001,1.039236479321315,7.087999999999999,1.0369638826185101,5.540500000000001,1.3265950726468727,58.97435897435897,0.0888990443624742,0.06025098879382993,7.072500000000001,7.625458549888534,6.5195414501114675,0.15636862492429357,0.23571428571428577,7.25,0.006920442844573757,0.6711723820003636,7.2,-0.08643250577230742,0.6724438451167639,7.85,0.0934011750884006,0.5967247860022703,7.2,0.01398624197473987,0.5089594827346303,7.0,-0.014184634991956413,0.6490919646176267,0.6717980282512233
2021-01-08,7.45,7.35,7.45,7.3,0,0.013513719166722855,0.013605442176870763,8.0,0.125,0.125,1.0,1.0,0.025,1,1.0125727369136055,0.6831928858686326,0.6717980282512233,0.5878749885238408,0.46629934578544713,0.547068012474299,7.42,1.0040431266846361,7.265000000000001,1.0254645560908464,7.092499999999999,1.0504053577722947,7.115,1.0470836261419536,5.5577499999999995,1.3404705141469122,60.975609756097576,0.10023916963142643,0.06824862496134923,7.092499999999999,7.670404563237407,6.514595436762591,0.16296216094110907,0.23571428571428577,7.35,0.013698844358161927,0.6705835688242973,7.25,0.006920442844573757,0.6711723820003636,7.2,-0.08643250577230742,0.6724438451167639,7.15,-0.006968669316093316,0.5006136812465433,7.0,0.0,0.585219971224372,0.671740543193523
2021-01-11,7.4,7.45,7.45,7.35,0,-0.006734032181344068,-0.006711409395973145,8.0,0.125,0.125,1.0,1.0,0.025,1,0.675231533717746,0.6857439639290787,0.671740543193523,0.5875765356707522,0.4637445177887763,0.5446935765301498,7.33,1.009549795361528,7.3050000000000015,1.0130047912388773,7.1125,1.0404217926186292,7.14,1.0364145658263306,5.57475,1.3274137853715413,59.52380952380954,0.10399295245318196,0.07539749045971578,7.1125,7.704441497820688,6.520558502179312,0.16645103629404234,0.2321428571428572,7.45,0.013513719166722855,0.6717980282512233,7.35,0.013698844358161927,0.6705835688242973,7.25,0.006920442844573757,0.6711723820003636,7.85,0.0934011750884006,0.5967247860022703,7.0,0.0,0.5386287998847018,0.6709343017399109
2021-01-12,7.4,7.35,7.45,7.35,0,0.0,0.0,8.0,0.125,0.125,1.0,1.0,0.025,1,0.1405091026785042,0.684442720746364,0.6709343017399109,0.5863930912659668,0.4634384203949521,0.5446493176260054,7.37,1.0040705563093624,7.334999999999999,1.0088616223585551,7.1674999999999995,1.0324380885943496,7.1610000000000005,1.033375226923614,5.591750000000001,1.3233781910850806,57.50000000000003,0.1057488455191935,0.08146776147161133,7.1674999999999995,7.632342927630954,6.702657072369045,0.12970852532429836,0.22857142857142865,7.4,-0.006734032181344068,0.671740543193523,7.45,0.013513719166722855,0.6717980282512233,7.35,0.013698844358161927,0.6705835688242973,7.2,-0.08643250577230742,0.6724438451167639,7.1,0.014184634991956381,0.519856532302728,0.5463119706721798
2021-01-13,7.35,7.4,7.45,7.35,0,-0.006779686985378804,-0.006756756756756799,8.0,0.125,0.125,1.0,1.0,0.025,1,0.16344935934347854,0.6864338103911971,0.5463119706721798,0.5866817644969988,0.46330600233079217,0.5362578536509967,7.390000000000001,0.9945872801082543,7.359999999999999,0.9986413043478262,7.1925,1.021897810218978,7.178,1.0239621064363331,5.6085,1.3105108317732013,58.974358974358964,0.10193082617753113,0.08556037441279529,7.1925,7.6388595435356565,6.746140456464343,0.12411805173045719,0.2285714285714287,7.4,0.0,0.6709343017399109,7.4,-0.006734032181344068,0.671740543193523,7.45,0.013513719166722855,0.6717980282512233,7.25,0.006920442844573757,0.6711723820003636,7.1,0.0,0.5119054992878617,0.4739792796109795
2021-01-14,7.5,7.35,7.5,7.25,0,0.02020270731751947,0.020408163265306145,8.0,0.125,0.125,1.0,1.0,0.025,1,0.1944953516120305,0.6898039145433812,0.4739792796109795,0.5876354627674865,0.46394508213336505,0.5366066627935729,7.42,1.0107816711590296,7.390000000000001,1.0148849797023003,7.220000000000001,1.038781163434903,7.2,1.0416666666666667,5.6267499999999995,1.332918647531879,61.904761904761905,0.10974370759158436,0.0903970410485531,7.220000000000001,7.671197237766943,6.768802762233058,0.1249853844229758,0.2285714285714287,7.35,-0.006779686985378804,0.5463119706721798,7.4,0.0,0.6709343017399109,7.4,-0.006734032181344068,0.671740543193523,7.35,0.013698844358161927,0.6705835688242973,7.2,0.01398624197473987,0.5089594827346303,0.47366133676971306
2021-01-15,7.6,7.5,7.7,7.5,0,0.013245226750020505,0.013333333333333197,8.0,0.125,0.125,1.0,1.0,0.025,1,0.19367910837142693,0.6881982696725073,0.47366133676971306,0.5875683002876022,0.46307524521275695,0.5367720526895706,7.45,1.0201342281879193,7.435,1.0221923335574983,7.25,1.0482758620689654,7.225,1.0519031141868511,5.64525,1.346264558699792,63.63636363636363,0.12259147841351759,0.096835928521546,7.25,7.719041575982448,6.780958424017552,0.12939077958136502,0.23928571428571446,7.5,0.02020270731751947,0.4739792796109795,7.35,-0.006779686985378804,0.5463119706721798,7.4,0.0,0.6709343017399109,7.45,0.013513719166722855,0.6717980282512233,7.15,-0.006968669316093316,0.5006136812465433,0.49787964876429813
2021-01-18,7.3,7.6,7.6,7.3,0,-0.04027389913793996,-0.03947368421052633,8.0,0.125,0.125,1.0,1.0,0.025,1,0.3735162210821968,0.5200227570407405,0.49787964876429813,0.5939549513101322,0.4667830817885973,0.5355903651928235,7.43,0.9825033647375505,7.38,0.9891598915989159,7.265000000000001,1.0048176187198898,7.245,1.007591442374051,5.6617500000000005,1.2893539983220734,54.16666666666667,0.10732871790746934,0.09893448639873068,7.265000000000001,7.719335836834031,6.810664163165971,0.1250752475799119,0.2535714285714287,7.6,0.013245226750020505,0.47366133676971306,7.5,0.02020270731751947,0.4739792796109795,7.35,-0.006779686985378804,0.5463119706721798,7.4,-0.006734032181344068,0.671740543193523,7.85,0.0934011750884006,0.5967247860022703,0.49787964876429813
2021-01-19,7.3,7.3,7.5,7.2,0,0.0,0.0,8.0,0.125,0.125,1.0,1.0,0.025,1,0.3735162210821968,0.2747523049337943,0.49787964876429813,0.5910072599678647,0.4664417746172949,0.5344285778876617,7.409999999999999,0.9851551956815116,7.389999999999999,0.9878213802435726,7.279999999999999,1.0027472527472527,7.2620000000000005,1.0052327182594325,5.6775,1.2857771906649051,54.16666666666667,0.09414759536959849,0.09797710819290426,7.279999999999999,7.7169752492088675,6.843024750791131,0.12004814538705169,0.2642857142857144,7.3,-0.04027389913793996,0.49787964876429813,7.6,0.013245226750020505,0.47366133676971306,7.5,0.02020270731751947,0.4739792796109795,7.4,0.0,0.6709343017399109,7.2,-0.08643250577230742,0.6724438451167639,0.49809590929324044
2021-01-20,7.35,7.3,7.4,7.25,0,0.006825965070399891,0.006849315068493178,8.0,0.125,0.125,1.0,1.0,0.025,1,0.3766782027520592,0.27469935810290785,0.49809590929324044,0.5899616799364651,0.46645305712567153,0.5344700330445765,7.409999999999999,0.9919028340080972,7.4,0.9932432432432432,7.292500000000001,1.0078848131642095,7.271999999999999,1.0107260726072607,5.694,1.2908324552160169,53.19148936170212,0.08673620198101517,0.09572892695052646,7.292500000000001,7.722034631898409,6.862965368101594,0.11780175026353311,0.2642857142857144,7.3,0.0,0.49787964876429813,7.3,-0.04027389913793996,0.49787964876429813,7.6,0.013245226750020505,0.47366133676971306,7.35,-0.006779686985378804,0.5463119706721798,7.25,0.006920442844573757,0.6711723820003636,0.4962601420389338
