Date,Price,Open,High,Low,Vol.,Change %,simple_return,log_return,squared_return,abs_return,realized_vol_5d,realized_vol_21d,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,price_dist_sma20,price_dist_sma50,macd,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,bb_width,bb_position,rsi,atr_14,atr_ratio,hist_vol_5d,hist_vol_10d,hist_vol_21d,hist_vol_63d,parkinson_vol,garman_klass_vol,vol_of_vol,high_vol_regime,vol_trend,log_return_lag_1,log_return_lag_2,log_return_lag_3,log_return_lag_5,log_return_lag_10,squared_return_lag_1,squared_return_lag_2,squared_return_lag_3,squared_return_lag_5,squared_return_lag_10,hist_vol_21d_lag_1,hist_vol_21d_lag_2,hist_vol_21d_lag_3,hist_vol_21d_lag_5,hist_vol_21d_lag_10,rsi_lag_1,rsi_lag_2,rsi_lag_3,rsi_lag_5,rsi_lag_10,macd_lag_1,macd_lag_2,macd_lag_3,macd_lag_5,macd_lag_10,atr_14_lag_1,atr_14_lag_2,atr_14_lag_3,atr_14_lag_5,atr_14_lag_10,bb_width_lag_1,bb_width_lag_2,bb_width_lag_3,bb_width_lag_5,bb_width_lag_10,abs_return_lag_1,abs_return_lag_2,abs_return_lag_3,abs_return_lag_5,day_of_week,month,quarter,year,is_month_start,is_month_end,day_of_month,dow_0,dow_1,dow_2,dow_3,dow_4,trend,high_prev_vol,return_zscore,is_jump,drawdown,max_drawdown_21d,target_vol_1d,target_squared_ret,target_abs_ret,target_vol_5d
2026-01-27,1635.0,1635.0,1635.0,1635.0,102.17K,0.00%,0.0,0.0,0.0,0.0,0.1205488519988232,0.3877320879424228,1635.0,1641.965221485748,1654.4,1685.899773244564,1841.06,1797.7286243156648,1996.682,1963.6859950298947,-0.11192465210259304,-0.18114151377134666,-137.12403348577436,-124.5459945018671,-12.578038983907263,1841.06,2356.55179543218,1325.56820456782,0.559994563384333,0.3001326094557503,0.0,37.642857142857146,0.02302315421581477,0.1205488519988232,0.1097952586949072,0.3877320879424228,0.542325056602119,0.0,0.0,0.14876049554013804,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3877320879424228,0.3877320879424228,0.3877320879424228,0.3919438084298116,0.5749593657392789,0.0,0.0,0.0,0.0,0.0,-140.4831551987554,-142.72722465497873,-143.51544094775818,-138.98190779538322,-89.75314109116198,42.0,48.0,59.10000000000001,57.10000000000001,52.52857142857143,0.5835184856017366,0.5954811831073251,0.5976528235313302,0.5764808653944855,0.41716978236846963,0.0,0.0,0.0,0.0,1,1,1,2026,0,0,27,0,1,0,0,0,-1,0,0.11597794863572448,0,-0.3129674762585092,-0.3129674762585092,0.3877320879424228,0.0,0.0,0.0
2026-01-26,1635.0,1635.0,1635.0,1635.0,82.48K,0.00%,0.0,0.0,0.0,0.0,0.0,0.3877320879424228,1635.0,1639.6434809904988,1648.9,1676.6452690182794,1807.0400000000002,1782.2306600951254,1989.7820000000002,1950.7963481659772,-0.095205418806446,-0.17830194463514099,-132.9295759216352,-126.22271078582074,-6.706865135814468,1807.0400000000002,2278.6645357663656,1335.4154642336348,0.5219857178218139,0.31760914991366584,0.0,20.857142857142858,0.012756662297946702,0.0,0.11077441182068275,0.3877320879424228,0.539411829960695,0.0,0.0,0.14395509484589122,1,-1,0.0,0.0,0.0,-0.01698039586157394,-0.005899722127188271,0.0,0.0,0.0,0.0002883338436157574,3.48067211780349e-05,0.3877320879424228,0.3877320879424228,0.3877320879424228,0.3877320879424228,0.3957175265959117,0.0,0.0,0.0,0.0,0.0,-137.12403348577436,-140.4831551987554,-142.72722465497873,-142.43399423857454,-106.63997498061076,37.642857142857146,42.0,48.0,59.10000000000001,53.24285714285715,0.559994563384333,0.5835184856017366,0.5954811831073251,0.5911178519010529,0.4630174060008742,0.0,0.0,0.0,0.01698039586157394,0,1,1,2026,0,0,26,1,0,0,0,0,-1,0,0.11597794863572448,0,-0.3129674762585092,-0.3129674762585092,0.3877320879424228,0.0,0.0,0.0
2026-01-23,1635.0,1635.0,1635.0,1635.0,138.23K,0.00%,0.0,0.0,0.0,0.0,0.0,0.3877320879424228,1635.0,1638.095653993666,1643.4,1669.0734019240467,1773.02,1768.2086924670182,1982.882,1938.4121776496643,-0.0778445815614037,-0.17544261332746983,-128.12845303324548,-126.60385923530569,-1.5245937979397866,1773.02,2184.579742289842,1361.4602577101575,0.4642471515153155,0.3323208202628346,0.0,12.285714285714286,0.007514198339886414,0.0,0.11077441182068275,0.3877320879424228,0.5106855152380683,0.0,0.0,0.13690628349472225,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3877320879424228,0.3877320879424228,0.3877320879424228,0.3877320879424228,0.3957175265959117,0.0,0.0,0.0,0.0,0.0,-132.9295759216352,-137.12403348577436,-140.4831551987554,-143.51544094775818,-118.65513002242278,20.857142857142858,37.642857142857146,42.0,59.10000000000001,55.17142857142858,0.5219857178218139,0.559994563384333,0.5835184856017366,0.5976528235313302,0.49966911088815996,0.0,0.0,0.0,0.0,4,1,1,2026,0,0,23,0,0,0,0,1,-1,0,0.11597794863572448,0,-0.3129674762585092,-0.3129674762585092,0.3877320879424228,0.0,0.0,0.0
2026-01-22,1635.0,1635.0,1635.0,1635.0,132.85K,0.00%,0.0,0.0,0.0,0.0,0.0,0.3877320879424228,1635.0,1637.0637693291108,1640.6,1662.8782379378563,1739.0,1755.5221503273021,1975.9820000000002,1926.5136608790892,-0.05980448533640023,-0.17256331282369988,-122.90673620578059,-125.86443462940068,2.957698423620087,1739.0,2065.476564807366,1412.5234351926342,0.37547621024423894,0.3407236365321288,0.0,6.571428571428571,0.004019222367846221,0.0,0.08524091071262038,0.3877320879424228,0.49840190462768336,0.0,0.0,0.12724177151427343,1,-1,0.0,0.0,0.0,0.0,-0.016105328724191518,0.0,0.0,0.0,0.0,0.0002593816133142684,0.3877320879424228,0.3877320879424228,0.3877320879424228,0.3877320879424228,0.3919438084298116,0.0,0.0,0.0,0.0,0.0,-128.12845303324548,-132.9295759216352,-137.12403348577436,-142.72722465497873,-128.87036397230463,12.285714285714286,20.857142857142858,37.642857142857146,48.0,57.10000000000001,0.4642471515153155,0.5219857178218139,0.559994563384333,0.5954811831073251,0.5328744058015659,0.0,0.0,0.0,0.0,3,1,1,2026,0,0,22,0,0,0,1,0,-1,0,0.11597794863572448,0,-0.3129674762585092,-0.3129674762585092,0.3877320879424228,0.0,0.0,0.0
2026-01-21,1635.0,1635.0,1635.0,1635.0,428.50K,0.00%,0.0,0.0,0.0,0.0,0.0,0.3877320879424228,1635.0,1636.3758462194073,1637.8,1657.8094674037004,1712.75,1744.0438502961306,1969.082,1915.081752609321,-0.045394832871113705,-0.16966383319739864,-117.41500095684637,-124.17454789488981,6.759546938043442,1712.75,1974.7591400575197,1450.7408599424803,0.30595141153994426,0.3516273134919429,0.0,6.571428571428571,0.004019222367846221,0.0,0.08524091071262038,0.3877320879424228,0.49840190462768336,0.0,0.0,0.1142999702771154,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3877320879424228,0.3877320879424228,0.3877320879424228,0.3877320879424228,0.3919438084298116,0.0,0.0,0.0,0.0,0.0,-122.90673620578059,-128.12845303324548,-132.9295759216352,-140.4831551987554,-135.40514425814035,6.571428571428571,12.285714285714286,20.857142857142858,42.0,57.10000000000001,0.37547621024423894,0.4642471515153155,0.5219857178218139,0.5835184856017366,0.5583363174447942,0.0,0.0,0.0,0.0,2,1,1,2026,0,0,21,0,0,1,0,0,-1,0,0.11597794863572448,0,-0.3129674762585092,-0.3129674762585092,0.3400463843303288,0.0,0.0,0.0
2026-01-20,1635.0,1635.0,1635.0,1635.0,209.65K,0.00%,0.0,0.0,0.0,0.0,0.0,0.3400463843303288,1635.0,1635.9172308129384,1635.0,1653.6622915121184,1690.7,1733.6587216964992,1962.182,1904.098154467779,-0.03294493405098482,-0.16674396156931418,-111.77429669107892,-121.69449765412764,9.920200963048728,1690.7,1890.9378585582572,1490.462141441743,0.23686976821228736,0.3609154122975334,0.0,5.857142857142857,0.0035823503713411967,0.0,0.08524091071262038,0.3400463843303288,0.49840190462768336,0.0,0.0,0.09639624880008896,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3877320879424228,0.3877320879424228,0.3877320879424228,0.3877320879424228,0.3919438084298116,0.0,0.0,0.0,0.0,0.0,-117.41500095684637,-122.90673620578059,-128.12845303324548,-137.12403348577436,-138.98190779538322,6.571428571428571,6.571428571428571,12.285714285714286,37.642857142857146,57.10000000000001,0.30595141153994426,0.37547621024423894,0.4642471515153155,0.559994563384333,0.5764808653944855,0.0,0.0,0.0,0.0,1,1,1,2026,0,0,20,0,1,0,0,0,-1,0,0.11597794863572448,0,-0.3129674762585092,-0.3129674762585092,0.32881307190100467,0.0,0.0,0.0
2026-01-19,1635.0,1635.0,1635.0,1635.0,116.30K,0.00%,0.0,0.0,0.0,0.0,0.0,0.32881307190100467,1635.0,1635.6114872086257,1635.0,1650.269147600824,1671.7,1724.2626529634995,1955.2820000000002,1893.545285665121,-0.021953699826523926,-0.16380348205527392,-106.08116033822898,-118.5718301909479,12.490669852718923,1671.7,1802.4180171208104,1540.9819828791897,0.1563893247841244,0.3596214936228658,0.0,3.9285714285714284,0.002402795980777632,0.0,0.0,0.32881307190100467,0.49840190462768336,0.0,0.0,0.08343210845039073,1,-1,0.0,0.0,0.0,0.0,-0.01698039586157394,0.0,0.0,0.0,0.0,0.0002883338436157574,0.3400463843303288,0.3877320879424228,0.3877320879424228,0.3877320879424228,0.3877320879424228,0.0,0.0,0.0,0.0,0.0,-111.77429669107892,-117.41500095684637,-122.90673620578059,-132.9295759216352,-142.43399423857454,5.857142857142857,6.571428571428571,6.571428571428571,20.857142857142858,59.10000000000001,0.23686976821228736,0.30595141153994426,0.37547621024423894,0.5219857178218139,0.5911178519010529,0.0,0.0,0.0,0.0,0,1,1,2026,0,0,19,1,0,0,0,0,-1,0,0.11597794863572448,0,-0.3129674762585092,-0.3129674762585092,0.32391898030140687,0.0,0.0,0.0
2026-01-16,1635.0,1635.0,1635.0,1635.0,295.93K,0.00%,0.0,0.0,0.0,0.0,0.0,0.32391898030140687,1635.0,1635.4076581390839,1635.0,1647.4929389461286,1658.45,1715.7614479193567,1948.382,1883.406254854724,-0.01413970876420757,-0.16084217571297624,-100.41182376162897,-114.93982890508411,14.528005143455147,1658.45,1733.6745060853568,1583.2254939146433,0.09071664033930088,0.34413324048022675,0.0,2.0,0.0012232415902140672,0.0,0.0,0.32391898030140687,0.49840190462768336,0.0,0.0,0.07534758450455653,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32881307190100467,0.3400463843303288,0.3877320879424228,0.3877320879424228,0.3877320879424228,0.0,0.0,0.0,0.0,0.0,-106.08116033822898,-111.77429669107892,-117.41500095684637,-128.12845303324548,-143.51544094775818,3.9285714285714284,5.857142857142857,6.571428571428571,12.285714285714286,59.10000000000001,0.1563893247841244,0.23686976821228736,0.30595141153994426,0.4642471515153155,0.5976528235313302,0.0,0.0,0.0,0.0,4,1,1,2026,0,0,16,0,0,0,0,1,-1,0,0.11597794863572448,0,-0.3129674762585092,-0.3129674762585092,0.27216871198776366,0.0,0.0,0.0
2026-01-15,1635.0,1635.0,1635.0,1635.0,200.36K,0.00%,0.0,0.0,0.0,0.0,0.0,0.27216871198776366,1635.0,1635.2717720927228,1635.0,1645.2214955013778,1651.2,1708.0698814508467,1941.4820000000002,1873.6648330957153,-0.009811046511627935,-0.15785982048764818,-94.82574155760744,-110.91701143558879,16.091269877981347,1651.2,1700.624477208816,1601.7755227911841,0.05986491909982548,0.33611359274923774,0.0,2.0,0.0012232415902140672,0.0,0.0,0.27216871198776366,0.49840190462768336,0.0,0.0,0.07721267344261414,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32391898030140687,0.32881307190100467,0.3400463843303288,0.3877320879424228,0.3877320879424228,0.0,0.0,0.0,0.0,0.0,-100.41182376162897,-106.08116033822898,-111.77429669107892,-122.90673620578059,-142.72722465497873,2.0,3.9285714285714284,5.857142857142857,6.571428571428571,48.0,0.09071664033930088,0.1563893247841244,0.23686976821228736,0.37547621024423894,0.5954811831073251,0.0,0.0,0.0,0.0,3,1,1,2026,0,0,15,0,0,0,1,0,-1,0,0.11597794863572448,0,-0.3129674762585092,-0.3129674762585092,0.17219793224955543,0.0,0.0,0.0
2026-01-14,1635.0,1635.0,1635.0,1635.0,289.27K,0.00%,0.0,0.0,0.0,0.0,0.0,0.17219793224955543,1635.0,1635.1811813951488,1635.0,1643.3630417738545,1647.95,1701.1108451221946,1934.582,1864.3054278762754,-0.007858248126460176,-0.15485619115653929,-89.36854619482597,-106.60731838743622,17.238772192610256,1647.95,1692.1337074043852,1603.766292595615,0.05362263103174869,0.3534527684438406,0.0,2.0,0.0012232415902140672,0.0,0.0,0.17219793224955543,0.49840190462768336,0.0,0.0,0.08350288177670422,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27216871198776366,0.32391898030140687,0.32881307190100467,0.3877320879424228,0.3877320879424228,0.0,0.0,0.0,0.0,0.0,-94.82574155760744,-100.41182376162897,-106.08116033822898,-117.41500095684637,-140.4831551987554,2.0,2.0,3.9285714285714284,6.571428571428571,42.0,0.05986491909982548,0.09071664033930088,0.1563893247841244,0.30595141153994426,0.5835184856017366,0.0,0.0,0.0,0.0,2,1,1,2026,0,0,14,0,0,1,0,0,-1,0,0.11597794863572448,0,-0.3129674762585092,-0.3129674762585092,0.08017393847701719,0.0,0.0,0.42496659696453293
