Date,Price,Open,High,Low,Vol.,Change %,simple_return,log_return,squared_return,abs_return,realized_vol_5d,realized_vol_21d
2026-05-12,79.0,74.55,81.9,74.95,29.91M,5.97%,,,,,,
2026-05-11,74.55,67.8,74.55,68.2,148.93M,9.96%,-0.05632911392405071,-0.05797781125627415,0.00336142659806815,0.05797781125627415,,
2026-05-08,67.8,61.65,67.8,66.9,22.36M,9.98%,-0.0905432595573441,-0.09490784626439758,0.009007499282546525,0.09490784626439758,,
2026-05-07,61.65,61.0,64.25,61.05,6.21M,1.07%,-0.09070796460176989,-0.09508896533599655,0.009041911328670353,0.09508896533599655,,
2026-05-06,61.0,60.05,61.0,60.3,5.33M,1.58%,-0.010543390105433925,-0.01059936543704208,0.00011234654766796226,0.01059936543704208,,
2026-05-05,60.05,62.4,61.3,60.05,19.53M,-3.77%,-0.015573770491803307,-0.01569631564731873,0.0002463743249002628,0.01569631564731873,0.6508895788807488,
2026-05-04,62.4,64.65,64.1,62.05,27.73M,-3.48%,0.039134054954204744,0.038387726849389354,0.0014736175726633284,0.038387726849389354,0.9239907243305283,
2026-04-30,64.65,65.0,65.0,64.6,8.02M,-0.54%,0.03605769230769251,0.0354228298424847,0.0012547768740496248,0.0354228298424847,0.8576777799680513,
2026-04-29,65.0,68.2,69.8,65.0,45.04M,-4.69%,0.005413766434648082,0.0053991646777706015,2.9150979217685724e-05,0.0053991646777706015,0.4013054840119794,
2026-04-28,68.2,62.0,70.0,62.0,8.19M,1.04%,0.04923076923076919,0.048057294953779264,0.002309503598274538,0.048057294953779264,0.4217826493014425,
2026-04-27,67.5,75.0,70.05,67.5,18.46M,-10.00%,-0.01026392961876832,-0.010316966970932267,0.00010643980747930732,0.010316966970932267,0.3919127957178606,
2026-04-24,75.0,77.0,75.3,75.0,4.83M,-2.60%,0.11111111111111116,0.10536051565782635,0.011100838259683072,0.10536051565782635,0.7114891486691908,
2026-04-23,77.0,77.0,79.85,75.2,21.72M,0.00%,0.026666666666666616,0.026317308317373358,0.000692600717071689,0.026317308317373358,0.7155122744735666,
2026-04-22,77.0,71.0,77.0,68.5,76.64M,8.45%,0.0,0.0,0.0,0.0,0.7304378559574775,
2026-04-21,71.0,68.0,71.0,67.65,38.61M,4.41%,-0.07792207792207795,-0.08112554481236846,0.006581354021103603,0.08112554481236846,1.069541852552676,
2026-04-20,68.0,64.0,70.4,64.5,70.17M,6.25%,-0.04225352112676062,-0.04317217186520878,0.0018638364235591246,0.04317217186520878,1.128869958035191,
2026-04-17,64.0,58.45,64.25,61.4,31.46M,9.50%,-0.05882352941176472,-0.060624621816434854,0.0036753447703857488,0.060624621816434854,0.7001910904868621,
2026-04-16,58.45,53.45,58.45,54.2,11.67M,9.35%,-0.08671874999999996,-0.09071139544159439,0.008228557262961312,0.09071139544159439,0.5698429516500395,
2026-04-15,53.45,54.9,55.0,53.0,11.34M,-2.64%,-0.08554319931565435,-0.08942505044702313,0.007996839647452632,0.08942505044702313,0.32652409040084485,
2026-04-14,54.9,51.15,54.95,51.15,9.89M,7.33%,0.027128157156220745,0.026766711044430694,0.0007164568201360481,0.026766711044430694,0.7635502245945835,
2026-04-13,51.15,52.05,51.8,51.1,3.16M,-1.73%,-0.06830601092896171,-0.07075085611784943,0.005005683641408631,0.07075085611784943,0.7698283177725146,
2026-04-10,52.05,52.1,52.1,52.0,3.64M,0.10%,0.017595307917888547,0.017442302663342388,0.000304233922199641,0.017442302663342388,0.9293229064058346,0.9037232556826036
2026-04-09,52.0,51.75,52.0,51.0,3.94M,0.48%,-0.0009606147934677622,-0.0009610764795504782,9.236679995451407e-07,0.0009610764795504782,0.8433573292994809,0.8949696336780373
2026-04-08,51.75,54.55,52.55,51.05,4.78M,-5.13%,-0.004807692307692291,-0.004819286435948883,2.3225521751720884e-05,0.004819286435948883,0.6066460670528184,0.849612824405432
2026-04-07,54.55,50.0,55.0,50.0,62.96M,9.10%,0.0541062801932366,0.052693280133601264,0.0027765817712381777,0.052693280133601264,0.7144616606911207,0.8232259239919039
2026-04-02,50.0,50.0,51.9,50.0,17.40M,0.00%,-0.08340971585701185,-0.08709470685093369,0.007585487961450076,0.08709470685093369,0.8166904355017627,0.8701264442048678
2026-04-01,50.0,50.0,51.9,50.0,59.43M,0.00%,0.0,0.0,0.0,0.0,0.7962337167978165,0.8704098797869019
2026-03-31,50.0,51.0,50.25,50.0,4.85M,-1.96%,0.0,0.0,0.0,0.0,0.7968007720519248,0.8542391602973344
2026-03-30,51.0,50.5,51.0,49.1,84.56M,0.99%,0.020000000000000018,0.01980262729617973,0.0003921440478314025,0.01980262729617973,0.8214804281731527,0.8453143396297144
2026-03-27,50.5,51.0,50.6,50.5,5.47M,-0.98%,-0.009803921568627416,-0.009852296443011594,9.706774520097891e-05,0.009852296443011594,0.6585744260951288,0.8431678544162874
2026-03-26,51.0,51.5,51.5,50.9,7.24M,0.10%,0.00990099009900991,0.00985229644301164,9.70677452009798e-05,0.00985229644301164,0.1788703326603547,0.8189062199520257
2026-03-25,50.95,52.0,52.5,50.9,7.86M,-2.02%,-0.0009803921568627416,-0.000980873055591948,9.62111951186285e-07,0.000980873055591948,0.18036786773062852,0.8200499834128274
2026-03-24,52.0,53.6,53.0,52.0,32.31M,-2.99%,0.02060843964671233,0.020398958912693402,0.0004161175247217536,0.020398958912693402,0.2093549553555447,0.7105248348764063
2026-03-23,53.6,53.0,53.6,52.0,9.25M,1.13%,0.030769230769230882,0.030305349495329058,0.0009184142080340412,0.030305349495329058,0.2553706244244757,0.7137464294500802
2026-03-18,53.0,52.0,53.0,51.5,10.73M,1.92%,-0.011194029850746245,-0.011257154524634447,0.0001267235279914978,0.011257154524634447,0.2623317223827127,0.7113796995882292
2026-03-17,52.0,50.0,52.25,50.0,18.11M,4.00%,-0.018867924528301883,-0.019048194970694474,0.00036283373164159026,0.019048194970694474,0.3320048759252893,0.673215892111521
2026-03-16,50.0,50.0,50.85,50.0,67.03M,0.00%,-0.038461538461538436,-0.03922071315328127,0.0015382643402519702,0.03922071315328127,0.45537303796386625,0.67125614579841
2026-03-13,50.0,50.0,50.2,50.0,70.83M,0.00%,0.0,0.0,0.0,0.0,0.4077140238104748,0.6514903181682108
2026-03-12,50.0,50.0,50.0,49.8,27.72M,0.00%,0.0,0.0,0.0,0.0,0.25854584914727546,0.5854009782819077
2026-03-11,50.0,50.0,50.05,49.85,19.78M,0.00%,0.0,0.0,0.0,0.0,0.2774686131608294,0.5038773130412975
2026-03-10,50.0,50.0,50.25,50.0,7.73M,0.00%,0.0,0.0,0.0,0.0,0.2784394417978514,0.49223160194917287
2026-03-09,50.0,52.0,51.6,49.65,16.71M,-3.85%,0.0,0.0,0.0,0.0,0.0,0.4291320916285239
2026-03-06,52.0,52.5,52.0,50.9,43.91M,-0.95%,0.040000000000000036,0.03922071315328133,0.0015382643402519752,0.03922071315328133,0.27843944179785224,0.4472279415384429
2026-03-05,52.5,52.95,52.7,52.5,3.84M,-0.85%,0.009615384615384581,0.009569451016150672,9.157439275050714e-05,0.009569451016150672,0.26960302422485316,0.4484424605116295
2026-03-04,52.95,53.0,53.0,52.9,24.18M,-0.09%,0.008571428571428674,0.008534902449837506,7.284455982824227e-05,0.008534902449837506,0.2566386376517557,0.4488490714542325
2026-03-03,53.0,53.75,55.0,52.9,13.66M,-1.40%,0.0009442870632672129,0.0009438415047063485,8.908367860063441e-07,0.0009438415047063485,0.2540567317076124,0.40780942010661464
2026-03-02,53.75,53.95,54.0,53.0,9.23M,-0.37%,0.014150943396226356,0.014051753455650287,0.00019745177517837978,0.014051753455650287,0.23208431237704397,0.26566832014605957
2026-02-27,53.95,54.0,57.0,52.05,20.66M,-0.09%,0.0037209302325582616,0.0037140246963716086,1.379397944525822e-05,0.0037140246963716086,0.0815267728789733,0.26537306422237866
2026-02-26,54.0,51.5,54.0,52.0,9.26M,4.85%,0.000926784059314123,0.0009263548601306608,8.581333268876962e-07,0.0009263548601306608,0.08949042537201486,0.26523317796477314
2026-02-25,51.5,56.2,56.5,51.05,14.52M,-8.36%,-0.04629629629629628,-0.047402238894583906,0.0022469722522192033,0.047402238894583906,0.3811348252728821,0.3117950695737422
2026-02-24,56.2,56.0,57.0,56.0,15.80M,0.36%,0.09126213592233023,0.08733494922995505,0.007627393356998826,0.08733494922995505,0.769508276678585,0.4304570138361747
2026-02-23,56.0,54.0,56.3,54.0,10.01M,3.70%,-0.003558718861210064,-0.003565066164496257,1.2709696757236052e-05,0.003565066164496257,0.7762859888306438,0.4310965000580135
2026-02-20,54.0,52.0,54.0,52.0,10.88M,3.85%,-0.0357142857142857,-0.03636764417087483,0.0013226055425393662,0.03636764417087483,0.8403886858924845,0.45356043444669314
2026-02-19,52.0,48.75,52.0,49.0,12.56M,6.67%,-0.03703703703703709,-0.037740327982847086,0.0014243323562528707,0.037740327982847086,0.8820409538176596,0.4695196274717366
2026-02-18,48.75,48.5,48.95,48.5,5.47M,0.52%,-0.0625,-0.06453852113757118,0.004165220710624722,0.06453852113757118,0.9374690987821603,0.5059261078812426
2026-02-17,48.5,48.3,48.95,48.3,54.32M,0.41%,-0.00512820512820511,-0.005141399500418652,2.6433988822905168e-05,0.005141399500418652,0.40540051026007395,0.505342643382325
2026-02-16,48.3,48.15,49.0,48.05,8.11M,0.31%,-0.004123711340206282,-0.004132237284910606,1.7075384978805377e-05,0.004132237284910606,0.40313085398047466,0.5024632308517952
2026-02-13,48.15,48.0,48.9,48.05,106.34M,0.31%,-0.0031055900621117516,-0.003110422414392391,9.67472759595459e-06,0.003110422414392391,0.4356981771151767,0.4854123520877927
2026-02-12,48.0,48.0,48.9,47.9,4.41M,0.00%,-0.0031152647975077885,-0.003120127336243634,9.735194594374794e-06,0.003120127336243634,0.4308673795558151,0.48538728077981386
2026-02-11,48.0,48.0,48.8,48.0,22.99M,0.00%,0.0,0.0,0.0,0.0,0.030579898065713186,0.48538728077981386
2026-02-10,48.0,47.1,49.75,47.6,38.61M,1.91%,0.0,0.0,0.0,0.0,0.030748880903865478,0.48538728077981386
2026-02-09,47.1,47.0,48.5,47.1,4.17M,0.21%,-0.018749999999999933,-0.018928009885518796,0.00035826955822629725,0.018928009885518796,0.12577200768404936,0.4888484756062416
2026-02-06,47.0,49.75,49.75,47.0,7.43M,-5.53%,-0.002123142250530785,-0.0021253993123134776,4.517322236782604e-06,0.0021253993123134776,0.1269092446778784,0.4887480422748084
2026-02-05,49.75,48.75,50.0,49.0,6.89M,2.05%,0.0585106382978724,0.056862861894543246,0.003233385062837898,0.056862861894543246,0.4586955847370272,0.5112302424306482
2026-02-04,48.75,43.0,48.75,43.0,35.33M,9.92%,-0.02010050251256279,-0.02030526616074557,0.0004123038338587191,0.02030526616074557,0.49950494339823287,0.5131045754221334
2026-02-03,44.35,41.05,45.15,41.6,26.42M,8.04%,-0.09025641025641018,-0.0945924886882676,0.008947738916240034,0.0945924886882676,0.8587368837506496,0.5996230021699025
2026-02-02,41.05,41.0,41.5,40.6,27.63M,-8.78%,-0.07440811724915453,-0.07732187285715135,0.0059786720221374785,0.07732187285715135,0.9654894741778961,0.6438530357605456
2026-01-30,45.0,47.5,45.1,45.0,4.99M,-5.26%,0.09622411693057265,0.09187165387188269,0.008440400785155018,0.09187165387188269,1.2953615350832561,0.7339168952588573
2026-01-29,47.5,46.0,47.5,46.0,3.82M,3.26%,0.05555555555555558,0.05406722127027579,0.002923264415888963,0.05406722127027579,1.2865698180772118,0.7645313913086691
2026-01-28,46.0,47.05,47.1,46.0,4.58M,-2.23%,-0.03157894736842104,-0.03208831455150051,0.0010296599307560396,0.03208831455150051,1.2956325365074108,0.7692676650425467
2026-01-27,47.05,49.0,47.3,47.05,3.71M,-3.98%,0.022826086956521774,0.022569469542293673,0.0005093809554205218,0.022569469542293673,1.0702897548107129,0.7618430318278635
2026-01-26,49.0,49.0,49.0,49.0,4.19M,0.00%,0.04144527098831041,0.04060943207923807,0.00164912597379825,0.04060943207923807,0.7224185737201507,0.706188018139933
2026-01-23,49.0,50.0,49.0,49.0,2.41M,-2.00%,0.0,0.0,0.0,0.0,0.5418918998570932,0.7064844361364319
2026-01-22,50.0,50.0,50.4,49.95,13.92M,0.00%,0.020408163265306145,0.02020270731751947,0.0004081493829573547,0.02020270731751947,0.4397923345008582,0.7033794775726478
2026-01-21,50.0,50.0,50.45,49.05,10.71M,0.00%,0.0,0.0,0.0,0.0,0.2722093670878338,0.6924066321816161
2026-01-20,50.0,51.0,50.35,49.55,7.02M,-1.96%,0.0,0.0,0.0,0.0,0.2881181738812548,0.6538222442672701
2026-01-19,51.0,52.0,52.0,50.5,9.13M,-1.92%,0.020000000000000018,0.01980262729617973,0.0003921440478314025,0.01980262729617973,0.17393420736160883,0.656475679261273
2026-01-16,52.0,52.0,52.05,51.9,6.66M,0.00%,0.019607843137254832,0.019418085857101516,0.00037706205835376594,0.019418085857101516,0.17228173225944365,0.6585916488789226
2026-01-15,52.0,50.0,52.5,51.5,23.04M,4.00%,0.0,0.0,0.0,0.0,0.17052229766951632,0.6582854617718986
2026-01-14,50.0,49.5,52.85,49.95,12.94M,1.01%,-0.038461538461538436,-0.03922071315328127,0.0015382643402519702,0.03922071315328127,0.38127501639307554,0.6746477638686791
2026-01-13,49.5,48.5,49.5,48.2,7.68M,2.06%,-0.010000000000000009,-0.01005033585350145,0.00010100925076817673,0.01005033585350145,0.38789367662319024,0.6759097913245472
2026-01-12,48.5,46.1,48.5,46.1,10.16M,5.21%,-0.02020202020202022,-0.020408871631207123,0.00041652204125909093,0.020408871631207123,0.3484813608531437,0.6801514010140927
2026-01-09,46.1,47.0,47.0,46.1,7.49M,-1.91%,-0.04948453608247416,-0.05075084794083461,0.002575648566713717,0.05075084794083461,0.33020599976140363,0.7002378281324128
2026-01-08,47.0,48.0,47.75,47.0,3.37M,-2.08%,0.019522776572667988,0.01933465170745563,0.0003738287566486169,0.01933465170745563,0.4319199499211677,0.7037490037613198
2026-01-07,48.0,48.45,49.0,47.9,9.63M,-0.93%,0.02127659574468077,0.021053409197832263,0.00044324603885136815,0.021053409197832263,0.4747093418460113,0.6777444344672681
2026-01-06,48.45,48.95,49.0,48.35,10.50M,-1.02%,0.009375000000000133,0.00933132742888444,8.70736715850511e-05,0.00933132742888444,0.4895671919189602,0.6752674625912595
2026-01-05,48.95,48.8,49.65,48.35,9.58M,0.31%,0.01031991744066052,0.010267030639744195,0.0001054119181574461,0.010267030639744195,0.4741238627639104,0.5820242728864441
2026-01-02,48.8,47.9,48.8,46.9,8.14M,1.88%,-0.003064351378958219,-0.0030690561174179947,9.419105451860816e-06,0.0030690561174179947,0.1528951335476739,0.5014362013329664
2025-12-31,47.9,44.4,47.9,41.0,28.08M,7.88%,-0.018442622950819665,-0.018614808442231935,0.0003465110933409893,0.018614808442231935,0.24071030374366137,0.40627560114061745
2025-12-30,44.4,49.0,49.0,44.4,25.75M,-9.94%,-0.07306889352818369,-0.07587603497869044,0.005757172684087456,0.07587603497869044,0.5662766543185704,0.4476319649640818
2025-12-29,49.3,52.9,52.9,48.2,51.53M,-6.98%,0.11036036036036023,0.10468461161046523,0.010958867908033952,0.10468461161046523,1.038443043439607,0.5703817160203957
2025-12-24,53.0,50.3,55.3,50.3,40.88M,5.37%,0.0750507099391482,0.07236783250347753,0.005237103181251379,0.07236783250347753,1.1514562283227805,0.6158542674338839
2025-12-23,50.3,45.0,50.35,45.0,45.81M,9.35%,-0.050943396226415194,-0.05228683644642842,0.002733913265575555,0.05228683644642842,1.2512258466487476,0.6332784462852725
2025-12-22,46.0,44.95,46.8,44.95,32.62M,2.34%,-0.08548707753479123,-0.0893636806165985,0.007985867413345421,0.0893636806165985,1.4274990394029652,0.7068804434713069
2025-12-19,44.95,42.65,46.9,42.65,52.15M,5.39%,-0.022826086956521663,-0.023090635571465644,0.0005331774510942345,0.023090635571465644,1.3142955471668065,0.7048747802809473
2025-12-18,42.65,39.6,43.55,36.8,385.62M,7.70%,-0.05116796440489446,-0.052523486979941296,0.002758716684532063,0.052523486979941296,0.9737222121207614,0.7233548948010033
2025-12-17,39.6,36.0,39.6,36.0,108.15M,10.00%,-0.07151230949589682,-0.07419815567725324,0.005505366305905908,0.07419815567725324,0.39899438779771984,0.7583864921389781
2025-12-16,36.0,34.55,36.9,32.35,51.92M,4.20%,-0.09090909090909094,-0.0953101798043249,0.00908403037433274,0.0953101798043249,0.46896765228161175,0.8028106505378352
2025-12-15,34.55,31.45,34.55,30.15,28.59M,9.86%,-0.04027777777777786,-0.04111138824243118,0.0016901462432199084,0.04111138824243118,0.44797864773530344,0.7959598769851114
2025-12-12,31.45,31.35,31.6,31.0,14.94M,0.32%,-0.08972503617945005,-0.09400856706722935,0.008837610682033759,0.09400856706722935,0.3859490697891309,0.832755985346457
2025-12-11,31.35,31.7,31.35,31.05,20.20M,-1.10%,-0.0031796502384736636,-0.0031847160675197244,1.0142416430718299e-05,0.0031847160675197244,0.6238462749501135,0.833782737134496
2025-12-10,31.7,31.65,31.7,31.55,5.47M,0.16%,0.011164274322168932,0.011102413804305104,0.00012326359228202453,0.011102413804305104,0.7874634531835827,0.8408654709358495
2025-12-09,31.65,31.55,31.95,31.55,7.38M,0.32%,-0.001577287066246047,-0.0015785322930497267,2.4917642002008283e-06,0.0015785322930497267,0.6803276040405118,0.8436204323673304
2025-12-08,31.55,31.5,31.55,31.5,6.38M,0.16%,-0.0031595576619272148,-0.003164559602962914,1.0014437480704796e-05,0.003164559602962914,0.6797071096954921,0.838082948806852
2025-12-05,31.5,31.55,31.55,31.5,9.67M,-0.16%,-0.0015847860538827918,-0.0015860431556348514,2.5155328915361578e-06,0.0015860431556348514,0.09653575157043308,0.8294101132944215
2025-12-04,31.55,31.45,31.55,31.5,6.29M,0.32%,0.0015873015873015817,0.0015860431556347797,2.51553289153593e-06,0.0015860431556347797,0.09143794550031502,0.8202392760138322
2025-12-03,31.45,31.05,31.45,31.45,2.71M,1.29%,-0.0031695721077654726,-0.003174605840772654,1.0078122244267849e-05,0.003174605840772654,0.030820063915175746,0.8157395956614126
2025-12-02,31.05,31.05,31.05,31.0,6.62M,0.00%,-0.012718600953894987,-0.012800174766961674,0.00016384447406476234,0.012800174766961674,0.08537815612003126,0.8086323947965447
2025-12-01,31.05,31.05,31.05,30.85,3.71M,0.00%,0.0,0.0,0.0,0.0,0.08976993459360537,0.8095915396053822
