Date,Price,Open,High,Low,Vol,Change_%,simple_return,log_return,squared_return,abs_return,realized_vol_5d,realized_vol_21d,stock
2020-01-02,142.0,142.0,142.0,142.0,1870000.0,0.0,,,,,,,DANGCEM
2020-01-03,142.0,142.0,142.0,142.0,1530000.0,0.0,0.0,0.0,0.0,0.0,,,DANGCEM
2020-01-06,146.0,142.0,146.0,143.0,2580000.0,2.82,0.028169014084507005,0.02777956410707567,0.0007717041819791269,0.02777956410707567,,,DANGCEM
2020-01-07,150.0,146.0,152.0,146.1,4690000.0,2.74,0.027397260273972712,0.02702867238791942,0.0007305491310534776,0.02702867238791942,,,DANGCEM
2020-01-08,164.0,150.0,164.0,154.1,3160000.0,9.33,0.09333333333333327,0.08923113372794261,0.007962195226373979,0.08923113372794261,,,DANGCEM
2020-01-09,175.0,164.0,180.4,175.0,4840000.0,6.71,0.06707317073170738,0.06491954609931569,0.004214547465741175,0.06491954609931569,0.558222631726017,,DANGCEM
2020-01-10,172.0,175.0,172.0,169.0,2350000.0,-1.71,-0.017142857142857126,-0.017291497110060994,0.00029899587230724774,0.017291497110060994,0.6463241086928758,,DANGCEM
2020-01-13,172.0,172.0,172.0,172.0,1880000.0,0.0,0.0,0.0,0.0,0.0,0.7025452574553032,,DANGCEM
2020-01-14,170.0,172.0,170.5,170.0,4980000.0,-1.16,-0.011627906976744207,-0.011696039763191298,0.00013679734614215197,0.011696039763191298,0.7727875042361857,,DANGCEM
2020-01-15,170.0,170.0,170.0,170.0,304430.0,0.0,0.0,0.0,0.0,0.0,0.5260261268107607,,DANGCEM
2020-01-16,175.0,170.0,175.0,172.0,1040000.0,2.94,0.02941176470588225,0.028987536873252187,0.0008402772939781551,0.028987536873252187,0.28353561025546026,,DANGCEM
2020-01-17,175.0,175.0,175.0,175.0,727040.0,0.0,0.0,0.0,0.0,0.0,0.24039208459620365,,DANGCEM
2020-01-20,175.0,175.0,175.0,175.0,2530000.0,0.0,0.0,0.0,0.0,0.0,0.24039208459620365,,DANGCEM
2020-01-21,173.0,175.0,173.0,173.0,2390000.0,-1.14,-0.011428571428571455,-0.011494379425735134,0.00013212075838276314,0.011494379425735134,0.23959412403989477,,DANGCEM
2020-01-22,172.8,173.0,172.8,172.8,3320000.0,-0.12,-0.0011560693641617936,-0.001156738127823644,1.338043096360949e-06,0.001156738127823644,0.24079597941375455,,DANGCEM
2020-01-23,174.9,172.8,174.9,174.9,871690.0,1.22,0.012152777777777679,0.01207952565460104,0.00014591494004016471,0.01207952565460104,0.1326515325118735,,DANGCEM
2020-01-24,179.9,174.9,179.9,179.9,2460000.0,2.86,0.028587764436821095,0.028186758931931087,0.000794493379086797,0.028186758931931087,0.24092509359740844,,DANGCEM
2020-01-27,179.9,179.9,179.9,179.9,197410.0,0.0,0.0,0.0,0.0,0.0,0.24092509359740844,,DANGCEM
2020-01-28,179.9,179.9,179.9,179.9,459060.0,0.0,0.0,0.0,0.0,0.0,0.20014396657175426,,DANGCEM
2020-01-29,179.9,179.9,179.9,179.9,905870.0,0.0,0.0,0.0,0.0,0.0,0.19701882094742498,,DANGCEM
2020-01-30,179.9,179.9,179.9,179.9,2580000.0,0.0,0.0,0.0,0.0,0.0,0.2001061376019606,,DANGCEM
2020-01-31,179.9,179.9,179.9,179.9,673330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4103464215658109,DANGCEM
2020-02-03,179.9,179.9,179.9,179.9,94740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4103464215658109,DANGCEM
2020-02-04,179.9,179.9,179.9,179.9,1040000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4075340481325564,DANGCEM
2020-02-05,170.0,179.9,170.0,170.0,2040000.0,-5.5,-0.05503057254030019,-0.05660270390622568,0.003203866089495856,0.05660270390622568,0.40183933469807454,0.46260717397382384,DANGCEM
2020-02-06,170.0,170.0,170.0,170.0,653630.0,0.0,0.0,0.0,0.0,0.0,0.40183933469807454,0.34972354710542064,DANGCEM
2020-02-07,170.0,170.0,170.0,170.0,9580000.0,0.0,0.0,0.0,0.0,0.0,0.40183933469807454,0.26357875583492085,DANGCEM
2020-02-10,170.0,170.0,170.0,170.0,24310.0,0.0,0.0,0.0,0.0,0.0,0.40183933469807454,0.257154623728828,DANGCEM
2020-02-11,170.0,170.0,170.0,170.0,173640.0,0.0,0.0,0.0,0.0,0.0,0.40183933469807454,0.257154623728828,DANGCEM
2020-02-12,170.0,170.0,170.0,170.0,93760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2539427737727721,DANGCEM
2020-02-13,170.0,170.0,170.0,170.0,128860.00000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.2539427737727721,DANGCEM
2020-02-14,170.0,170.0,170.0,170.0,120680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23107417006428402,DANGCEM
2020-02-17,170.0,170.0,170.0,170.0,41670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23107417006428402,DANGCEM
2020-02-18,170.0,170.0,170.0,170.0,511690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23107417006428402,DANGCEM
2020-02-19,170.0,170.0,170.0,170.0,1220000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22814712480584004,DANGCEM
2020-02-20,170.0,170.0,170.0,170.0,712190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22816163216223334,DANGCEM
2020-02-21,170.0,170.0,170.0,170.0,845320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22337155088970537,DANGCEM
2020-02-24,170.0,170.0,170.0,170.0,1390000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19607751802272066,DANGCEM
2020-02-25,170.0,170.0,170.0,170.0,1700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19607751802272066,DANGCEM
