Date,Price,Open,High,Low,Volume,log_return,simple_return,hist_vol_5d,hist_vol_10d,hist_vol_21d,hist_vol_63d,hist_vol_126d,hist_vol_252d,ma_5d,ma_ratio_5d,ma_10d,ma_ratio_10d,ma_20d,ma_ratio_20d,ma_50d,ma_ratio_50d,ma_200d,ma_ratio_200d,rsi_14d,macd,macd_signal,bb_middle,bb_upper,bb_lower,bb_width,atr_14d,price_lag_1,return_lag_1,vol_lag_1,price_lag_2,return_lag_2,vol_lag_2,price_lag_3,return_lag_3,vol_lag_3,price_lag_5,return_lag_5,vol_lag_5,price_lag_10,return_lag_10,vol_lag_10,target_vol_1d
2021-01-07,6.4,6.5,6.5,6.4,0,-0.015504186535965199,-0.01538461538461533,0.905194099871828,0.6067360484654212,0.6308583256211948,0.7764518190608078,0.5989394801016148,0.6494031041029904,6.380000000000001,1.0031347962382444,6.45,0.9922480620155039,6.2925,1.0170838299562972,6.156000000000001,1.0396361273554255,4.94175,1.2950877725502101,55.882352941176485,0.1151739899114208,0.12818268502077895,6.2925,6.897979366417916,5.687020633582085,0.19244477279870176,0.20357142857142843,6.5,0.0,0.6271329811787332,6.5,0.0,0.6727224689196899,6.5,0.08004270767353636,0.6727224689196899,6.5,0.0,0.5464704512226778,6.5,-0.01526747213078842,0.562652979915746,0.5393669085739814
2021-01-08,6.6,6.4,6.6,6.6,0,0.030771658666753472,0.031249999999999778,0.6032993755240106,0.6282213680956582,0.5393669085739814,0.7515880841332411,0.6002824437157744,0.6474093331045373,6.5,1.0153846153846153,6.459999999999999,1.021671826625387,6.33,1.0426540284360188,6.19,1.0662358642972536,4.95,1.3333333333333333,58.33333333333334,0.12251023668110328,0.1270481953528438,6.33,6.912553363266039,5.747446636733961,0.18406109423887498,0.21071428571428555,6.4,-0.015504186535965199,0.6308583256211948,6.5,0.0,0.6271329811787332,6.5,0.0,0.6727224689196899,6.0,-0.08004270767353637,0.6090871393744245,6.5,0.0,0.5617223558768586,0.48023773295522315
2021-01-11,6.5,6.6,6.6,6.45,0,-0.01526747213078842,-0.015151515151515138,0.29913766128340513,0.632481518147138,0.48023773295522315,0.7375080925878104,0.5973836887645501,0.6444879579813293,6.5,1.0,6.455,1.0069713400464755,6.365,1.021209740769835,6.2139999999999995,1.0460251046025106,4.957750000000001,1.3110786142907567,48.48484848484849,0.11888467233619782,0.12541549074951464,6.365,6.89524324110429,5.83475675889571,0.16661217316709814,0.20357142857142835,6.6,0.030771658666753472,0.5393669085739814,6.4,-0.015504186535965199,0.6308583256211948,6.5,0.0,0.6271329811787332,6.5,0.08004270767353636,0.6727224689196899,6.55,0.007662872745569097,0.551829668295131,0.47809039971957945
2021-01-12,6.5,6.5,6.5,6.5,0,0.0,0.0,0.29913766128340513,0.632481518147138,0.47809039971957945,0.7330669277503516,0.5959278676967109,0.6439101720481499,6.5,1.0,6.45,1.0077519379844961,6.4,1.015625,6.23,1.043338683788122,4.965750000000001,1.3089664199768412,46.87500000000001,0.11468931938977622,0.12327025647756695,6.4,6.861119918185397,5.938880081814604,0.14409997443293632,0.19285714285714267,6.5,-0.01526747213078842,0.48023773295522315,6.6,0.030771658666753472,0.5393669085739814,6.4,-0.015504186535965199,0.6308583256211948,6.5,0.0,0.6727224689196899,6.55,0.0,0.5491625540188678,0.4832958964937677
2021-01-13,6.4,6.5,6.4,6.4,0,-0.015504186535965199,-0.01538461538461533,0.31874516831673266,0.636090172357406,0.4832958964937677,0.7342855284378575,0.5963585330935969,0.6419650856479181,6.4799999999999995,0.9876543209876545,6.44,0.9937888198757764,6.43,0.995334370139969,6.245,1.0248198558847077,4.97325,1.2868848338611572,46.87500000000001,0.10211815318514716,0.119039835819083,6.43,6.794763802451508,6.065236197548492,0.11345685923841614,0.17857142857142838,6.5,0.0,0.47809039971957945,6.5,-0.01526747213078842,0.48023773295522315,6.6,0.030771658666753472,0.5393669085739814,6.5,0.0,0.6271329811787332,6.5,-0.007662872745569137,0.5471901589073825,0.4843841463834318
2021-01-14,6.5,6.4,6.5,6.5,0,0.015504186535965254,0.015625,0.3187451683167329,0.6418834825839097,0.4843841463834318,0.7343985128735491,0.596369963720683,0.6410755442530054,6.5,1.0,6.44,1.0093167701863353,6.4575000000000005,1.0065814943863725,6.271999999999999,1.0363520408163267,4.9835,1.3043042038727801,50.0,0.09908241723354116,0.11504835210197464,6.4575000000000005,6.7445448342019745,6.170455165798026,0.08890277482058816,0.1714285714285712,6.4,-0.015504186535965199,0.4832958964937677,6.5,0.0,0.47809039971957945,6.5,-0.01526747213078842,0.48023773295522315,6.4,-0.015504186535965199,0.6308583256211948,6.5,0.0,0.5464704512226778,0.4790756887397649
2021-01-15,6.5,6.5,6.5,6.5,0,0.0,0.0,0.20502653087642006,0.4633399244845445,0.4790756887397649,0.7344424272129169,0.5960900729626897,0.6409310493448894,6.4799999999999995,1.0030864197530864,6.49,1.0015408320493067,6.472499999999999,1.0042487446890693,6.297999999999999,1.0320736741822802,4.99575,1.3011059400490417,48.48484848484849,0.09557484727449328,0.11115365113647838,6.472499999999999,6.733015682930152,6.211984317069846,0.08049924540136058,0.1642857142857141,6.5,0.015504186535965254,0.4843841463834318,6.4,-0.015504186535965199,0.4832958964937677,6.5,0.0,0.47809039971957945,6.6,0.030771658666753472,0.5393669085739814,6.0,-0.08004270767353637,0.6090871393744245,0.46020604251744684
2021-01-18,6.55,6.5,6.6,6.55,0,0.007662872745569097,0.007692307692307665,0.1823384863409777,0.23390463165536896,0.46020604251744684,0.7335400778142195,0.5961218892877281,0.6409855395863939,6.489999999999999,1.0092449922958397,6.495,1.0084680523479599,6.484999999999999,1.010023130300694,6.3260000000000005,1.035409421435346,5.00825,1.3078420606000098,50.0,0.0957261830926246,0.10806815752770763,6.484999999999999,6.734420380714409,6.2355796192855895,0.07692224540151427,0.16785714285714265,6.5,0.0,0.4790756887397649,6.5,0.015504186535965254,0.4843841463834318,6.4,-0.015504186535965199,0.4832958964937677,6.5,-0.01526747213078842,0.48023773295522315,6.5,0.08004270767353636,0.6727224689196899,0.45767309558624797
2021-01-19,6.55,6.55,6.55,6.55,0,0.0,0.0,0.1823384863409777,0.23390463165536896,0.45767309558624797,0.7266107901462714,0.585124228386691,0.6409855395863939,6.5,1.0076923076923077,6.5,1.0076923076923077,6.484999999999999,1.010023130300694,6.355,1.0306845003933909,5.02,1.304780876494024,51.515151515151516,0.09475385436788297,0.1054052968957427,6.484999999999999,6.734420380714409,6.2355796192855895,0.07692224540151427,0.15357142857142833,6.55,0.007662872745569097,0.46020604251744684,6.5,0.0,0.4790756887397649,6.5,0.015504186535965254,0.4843841463834318,6.5,0.0,0.47809039971957945,6.5,0.0,0.6727224689196899,0.43736911980714244
2021-01-20,6.55,6.55,6.6,6.55,0,0.0,0.0,0.10991216573917965,0.23390463165536896,0.43736911980714244,0.7266249651479869,0.585124228386691,0.6360157011253511,6.529999999999999,1.003062787136294,6.505,1.0069177555726365,6.4825,1.0104126494408021,6.3740000000000006,1.0276121744587385,5.0305,1.302057449557698,51.515151515151516,0.0929122423542772,0.1029066859874496,6.4825,6.728039148984724,6.236960851015276,0.0757544616998763,0.15357142857142833,6.55,0.0,0.45767309558624797,6.55,0.007662872745569097,0.46020604251744684,6.5,0.0,0.4790756887397649,6.4,-0.015504186535965199,0.4832958964937677,6.5,0.0,0.6271329811787332,0.43649558057440485
