Date,Price,Open,High,Low,Vol.,Change %,simple_return,log_return,squared_return,abs_return,realized_vol_5d,realized_vol_21d,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,price_dist_sma20,price_dist_sma50,macd,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,bb_width,bb_position,rsi,atr_14,atr_ratio,hist_vol_5d,hist_vol_10d,hist_vol_21d,hist_vol_63d,parkinson_vol,garman_klass_vol,vol_of_vol,high_vol_regime,vol_trend,log_return_lag_1,log_return_lag_2,log_return_lag_3,log_return_lag_5,log_return_lag_10,squared_return_lag_1,squared_return_lag_2,squared_return_lag_3,squared_return_lag_5,squared_return_lag_10,hist_vol_21d_lag_1,hist_vol_21d_lag_2,hist_vol_21d_lag_3,hist_vol_21d_lag_5,hist_vol_21d_lag_10,rsi_lag_1,rsi_lag_2,rsi_lag_3,rsi_lag_5,rsi_lag_10,macd_lag_1,macd_lag_2,macd_lag_3,macd_lag_5,macd_lag_10,atr_14_lag_1,atr_14_lag_2,atr_14_lag_3,atr_14_lag_5,atr_14_lag_10,bb_width_lag_1,bb_width_lag_2,bb_width_lag_3,bb_width_lag_5,bb_width_lag_10,abs_return_lag_1,abs_return_lag_2,abs_return_lag_3,abs_return_lag_5,day_of_week,month,quarter,year,is_month_start,is_month_end,day_of_month,dow_0,dow_1,dow_2,dow_3,dow_4,trend,high_prev_vol,return_zscore,is_jump,drawdown,max_drawdown_21d,target_vol_1d,target_squared_ret,target_abs_ret,target_vol_5d
2025-12-23,50.3,45.0,50.35,45.0,45.81M,9.35%,-0.050943396226415194,-0.05228683644642842,0.002733913265575555,0.05228683644642842,1.2512258466487476,0.6332784462852727,48.98,49.77998111909704,48.61,49.18445817935901,49.260000000000005,48.94457349066317,49.486,49.244215476613775,0.02111246447421827,0.016449096714222206,0.13865387263962958,-0.1448900128772851,0.2835438855169147,49.260000000000005,53.33955105889181,45.1804489411082,0.16563341692617953,0.6274650059512314,46.544715447154466,3.8142857142857136,0.07583072990627662,1.2512258466487476,0.8415369426014587,0.6332784462852727,0.5966530263558414,1.0800328965410417,0.8867309281207769,0.08518982601966739,1,1,0.07236783250347753,0.10468461161046523,-0.07587603497869044,-0.0030690561174179947,-0.05075084794083461,0.005237103181251379,0.010958867908033952,0.005757172684087456,9.419105451860816e-06,0.002575648566713717,0.6158542674338842,0.570381716020396,0.4476319649640821,0.5014362013329667,0.7002378281324129,52.28310502283105,45.572916666666664,31.699346405228752,44.49541284403669,44.77611940298508,0.026616553247130526,-0.39168004791562794,-0.5431541817936747,-0.1825974697572761,-0.07316311591107905,3.3142857142857136,2.960714285714285,2.4964285714285706,1.7678571428571428,1.6357142857142857,0.16469591262379804,0.14832535994391408,0.15268600069262747,0.13935715813759503,0.22656566758053068,0.07236783250347753,0.10468461161046523,0.07587603497869044,0.0030690561174179947,1,12,4,2025,0,0,23,0,1,0,0,0,1,1,1.5876642733974686,0,-0.10498220640569404,-0.20996441281138797,0.7068804434713071,0.007985867413345421,0.0893636806165985,0.46896765228161175
2025-12-22,46.0,44.95,46.8,44.95,32.62M,2.34%,-0.08548707753479123,-0.0893636806165985,0.007985867413345421,0.0893636806165985,1.4274990394029652,0.7068804434713071,48.6,48.51998741273137,48.510000000000005,48.60546578311191,49.06,48.664137920123814,49.355999999999995,49.11699134027598,-0.062372604973501874,-0.06799578572007446,-0.11816764490344411,-0.1395455392825169,0.02137789437907278,49.06,53.372356786332915,44.74764321366709,0.17579929826061608,0.14520560894937845,42.56505576208178,3.9892857142857134,0.08672360248447203,1.4274990394029652,0.9702130532077149,0.7068804434713071,0.62239304376607,0.8696252572701784,0.6495109156665415,0.08520715770629003,1,1,-0.05228683644642842,0.07236783250347753,0.10468461161046523,-0.018614808442231935,0.01933465170745563,0.002733913265575555,0.005237103181251379,0.010958867908033952,0.0003465110933409893,0.0003738287566486169,0.6332784462852727,0.6158542674338842,0.570381716020396,0.4062756011406178,0.70374900376132,46.544715447154466,52.28310502283105,45.572916666666664,41.10169491525424,53.90625,0.13865387263962958,0.026616553247130526,-0.39168004791562794,-0.22968074275375017,-0.22886423384410648,3.8142857142857136,3.3142857142857136,2.960714285714285,2.224999999999999,1.6464285714285711,0.16563341692617953,0.16469591262379804,0.14832535994391408,0.1380310985911554,0.22670134347884294,0.05228683644642842,0.07236783250347753,0.10468461161046523,0.018614808442231935,0,12,4,2025,0,0,22,1,0,0,0,0,-1,1,2.7428198816156635,0,-0.18149466192170824,-0.20996441281138797,0.7048747802809475,0.0005331774510942345,0.023090635571465644,0.44797864773530344
2025-12-19,44.95,42.65,46.9,42.65,52.15M,5.39%,-0.022826086956521663,-0.023090635571465644,0.0005331774510942345,0.023090635571465644,1.3142955471668065,0.7048747802809475,48.71,47.32999160848758,48.205,47.940835640727926,48.8075,48.31041049915964,49.196000000000005,48.953579915167126,-0.0790349843774009,-0.08630782990487035,-0.4017951285066701,-0.19199545712734756,-0.20979967137932254,48.8075,53.465630978249344,44.14936902175065,0.19087767159757604,0.0859390796424375,41.71220400728598,4.164285714285714,0.0926426187827745,1.3142955471668065,0.9659495952001114,0.7048747802809475,0.6238672848549531,0.8623307635533131,0.7303444438155203,0.08527028951907596,1,1,-0.0893636806165985,-0.05228683644642842,0.07236783250347753,-0.07587603497869044,0.021053409197832263,0.007985867413345421,0.002733913265575555,0.005237103181251379,0.005757172684087456,0.00044324603885136815,0.7068804434713071,0.6332784462852727,0.6158542674338842,0.4476319649640821,0.6777444344672683,42.56505576208178,46.544715447154466,52.28310502283105,31.699346405228752,53.72549019607844,-0.11816764490344411,0.13865387263962958,0.026616553247130526,-0.5431541817936747,-0.26847207001564044,3.9892857142857134,3.8142857142857136,3.3142857142857136,2.4964285714285706,1.6964285714285714,0.17579929826061608,0.16563341692617953,0.16469591262379804,0.15268600069262747,0.22663313903371493,0.0893636806165985,0.05228683644642842,0.07236783250347753,0.07587603497869044,4,12,4,2025,0,0,19,0,0,0,0,1,-1,1,0.6780357455598063,0,-0.2001779359430605,-0.20996441281138797,0.7233548948010036,0.002758716684532063,0.052523486979941296,0.3859490697891309
2025-12-18,42.65,39.6,43.55,36.8,385.62M,7.70%,-0.05116796440489446,-0.052523486979941296,0.002758716684532063,0.052523486979941296,0.9737222121207614,0.7233548948010036,47.379999999999995,45.769994405658394,47.625,46.97886552423194,48.440000000000005,47.77132378495396,48.989,48.70638070280763,-0.11952931461601994,-0.1293963951091061,-0.8029073150504331,-0.3141778287119647,-0.4887294863384684,48.440000000000005,53.807700674061074,43.072299325938936,0.22162265375974685,-0.03933707853528984,39.82608695652174,4.503571428571428,0.10559370289733712,0.9737222121207614,0.9871227804501357,0.7233548948010036,0.6302459123489353,1.0496745273756998,0.9230734768590589,0.08661986406659324,1,1,-0.023090635571465644,-0.0893636806165985,-0.05228683644642842,0.10468461161046523,0.00933132742888444,0.0005331774510942345,0.007985867413345421,0.002733913265575555,0.010958867908033952,8.70736715850511e-05,0.7048747802809475,0.7068804434713071,0.6332784462852727,0.570381716020396,0.6752674625912597,41.71220400728598,42.56505576208178,46.544715447154466,45.572916666666664,47.55555555555557,-0.4017951285066701,-0.11816764490344411,0.13865387263962958,-0.39168004791562794,-0.26054690382505896,4.164285714285714,3.9892857142857134,3.8142857142857136,2.960714285714285,1.6285714285714283,0.19087767159757604,0.17579929826061608,0.16563341692617953,0.14832535994391408,0.2131908687988302,0.023090635571465644,0.0893636806165985,0.05228683644642842,0.10468461161046523,3,12,4,2025,0,0,18,0,0,0,1,0,-1,0,1.595037290090059,0,-0.24110320284697515,-0.24110320284697515,0.7583864921389782,0.005505366305905908,0.07419815567725324,0.6238462749501135
2025-12-17,39.6,36.0,39.6,36.0,108.15M,10.00%,-0.07151230949589682,-0.07419815567725324,0.005505366305905908,0.07419815567725324,0.39899438779771984,0.7583864921389782,44.7,43.713329603772266,46.69,45.63725361073523,47.87,46.9931024721012,48.706,48.349267734070075,-0.17275955713390426,-0.1869584856075227,-1.3513239020570822,-0.5216070433809883,-0.8297168586760939,47.87,54.39044557728347,41.34955442271652,0.27242304479981094,-0.1341591155067515,38.94557823129252,4.807142857142857,0.12139249639249639,0.39899438779771984,1.0224105527942948,0.7583864921389782,0.6422431445197592,1.0505667764722362,0.8390506604461804,0.09074397908423733,1,1,-0.052523486979941296,-0.023090635571465644,-0.0893636806165985,0.07236783250347753,0.010267030639744195,0.002758716684532063,0.0005331774510942345,0.007985867413345421,0.005237103181251379,0.0001054119181574461,0.7233548948010036,0.7048747802809475,0.7068804434713071,0.6158542674338842,0.5820242728864444,39.82608695652174,41.71220400728598,42.56505576208178,52.28310502283105,49.7872340425532,-0.8029073150504331,-0.4017951285066701,-0.11816764490344411,0.026616553247130526,-0.2114824926634995,4.503571428571428,4.164285714285714,3.9892857142857134,3.3142857142857136,1.721428571428571,0.22162265375974685,0.19087767159757604,0.17579929826061608,0.16469591262379804,0.15753125458012485,0.052523486979941296,0.023090635571465644,0.0893636806165985,0.07236783250347753,2,12,4,2025,0,0,17,0,0,1,0,0,-1,1,2.2703271013549315,0,-0.29537366548042704,-0.29537366548042704,0.8028106505378353,0.00908403037433274,0.0953101798043249,0.7874634531835827
2025-12-16,36.0,34.55,36.9,32.35,51.92M,4.20%,-0.09090909090909094,-0.0953101798043249,0.00908403037433274,0.0953101798043249,0.46896765228161175,0.8028106505378353,41.84,41.14221973584818,45.410000000000004,43.88502568151064,47.07,45.946140331901084,48.34700000000001,47.86498272489086,-0.23518164435946462,-0.2553829606800837,-2.0527748018251657,-0.8278405950698238,-1.224934206755342,47.07,55.187453580500396,38.952546419499605,0.34490986107926047,-0.18186407783052558,32.86604361370716,5.207142857142857,0.14464285714285716,0.46896765228161175,1.0798590506342722,0.8028106505378353,0.6671914337488885,1.0904585077919262,0.9993192423731145,0.09754577934907602,1,1,-0.07419815567725324,-0.052523486979941296,-0.023090635571465644,-0.05228683644642842,-0.0030690561174179947,0.005505366305905908,0.002758716684532063,0.0005331774510942345,0.002733913265575555,9.419105451860816e-06,0.7583864921389782,0.7233548948010036,0.7048747802809475,0.6332784462852727,0.5014362013329667,38.94557823129252,39.82608695652174,41.71220400728598,46.544715447154466,44.49541284403669,-1.3513239020570822,-0.8029073150504331,-0.4017951285066701,0.13865387263962958,-0.1825974697572761,4.807142857142857,4.503571428571428,4.164285714285714,3.8142857142857136,1.7678571428571428,0.27242304479981094,0.22162265375974685,0.19087767159757604,0.16563341692617953,0.13935715813759503,0.07419815567725324,0.052523486979941296,0.023090635571465644,0.05228683644642842,1,12,4,2025,0,0,16,0,1,0,0,0,-1,1,2.928087318467627,0,-0.3594306049822064,-0.3594306049822064,0.7959598769851115,0.0016901462432199084,0.04111138824243118,0.6803276040405118
2025-12-15,34.55,31.45,34.55,30.15,28.59M,9.86%,-0.04027777777777786,-0.04111138824243118,0.0016901462432199084,0.04111138824243118,0.44797864773530344,0.7959598769851115,39.55,38.94481315723212,44.075,42.18774828487234,46.197500000000005,44.860793633624795,47.958,47.34282653960102,-0.25212403268575156,-0.27957796405187874,-2.694620665725232,-1.2011966092009054,-1.4934240565243264,46.197500000000005,55.71438112334021,36.6806188766598,0.41200849064733824,-0.11193892458288922,29.3394777265745,5.482142857142857,0.15867273103163118,0.44797864773530344,1.0788769520977013,0.7959598769851115,0.6703781000340148,1.223458511005891,1.1642045348018373,0.10291793694431137,1,1,-0.0953101798043249,-0.07419815567725324,-0.052523486979941296,-0.0893636806165985,-0.018614808442231935,0.00908403037433274,0.005505366305905908,0.002758716684532063,0.007985867413345421,0.0003465110933409893,0.8028106505378353,0.7583864921389782,0.7233548948010036,0.7068804434713071,0.4062756011406178,32.86604361370716,38.94557823129252,39.82608695652174,42.56505576208178,41.10169491525424,-2.0527748018251657,-1.3513239020570822,-0.8029073150504331,-0.11816764490344411,-0.22968074275375017,5.207142857142857,4.807142857142857,4.503571428571428,3.9892857142857134,2.224999999999999,0.34490986107926047,0.27242304479981094,0.22162265375974685,0.17579929826061608,0.1380310985911554,0.0953101798043249,0.07419815567725324,0.052523486979941296,0.0893636806165985,0,12,4,2025,0,0,15,1,0,0,0,0,-1,1,1.2394851886849267,0,-0.3852313167259787,-0.3852313167259787,0.8327559853464571,0.008837610682033759,0.09400856706722935,0.6797071096954921
2025-12-12,31.45,31.35,31.6,31.0,14.94M,0.32%,-0.08972503617945005,-0.09400856706722935,0.008837610682033759,0.09400856706722935,0.3859490697891309,0.8327559853464571,36.85,36.44654210482141,42.78,40.23543041489555,45.269999999999996,43.583575192327196,47.55700000000001,46.719578440008824,-0.30527943450408657,-0.33868831086906254,-3.4140768762939473,-1.643772662619514,-1.7703042136744334,45.269999999999996,56.65823954788445,33.88176045211554,0.5031252285347672,-0.10676630228450376,25.852272727272734,5.6642857142857155,0.18010447422212134,0.3859490697891309,1.1027839749926236,0.8327559853464571,0.689921171356978,1.1573711377126923,1.0204068720049435,0.11022103049201265,1,1,-0.04111138824243118,-0.0953101798043249,-0.07419815567725324,-0.023090635571465644,-0.07587603497869044,0.0016901462432199084,0.00908403037433274,0.005505366305905908,0.0005331774510942345,0.005757172684087456,0.7959598769851115,0.8028106505378353,0.7583864921389782,0.7048747802809475,0.4476319649640821,29.3394777265745,32.86604361370716,38.94557823129252,41.71220400728598,31.699346405228752,-2.694620665725232,-2.0527748018251657,-1.3513239020570822,-0.4017951285066701,-0.5431541817936747,5.482142857142857,5.207142857142857,4.807142857142857,4.164285714285714,2.4964285714285706,0.41200849064733824,0.34490986107926047,0.27242304479981094,0.19087767159757604,0.15268600069262747,0.04111138824243118,0.0953101798043249,0.07419815567725324,0.023090635571465644,4,12,4,2025,0,0,12,0,0,0,0,1,-1,1,2.887534642353034,0,-0.44039145907473315,-0.44039145907473315,0.8337827371344961,1.0142416430718299e-05,0.0031847160675197244,0.09653575157043308
2025-11-26,31.05,31.0,31.1,31.0,62.78M,0.16%,-0.001607717041800627,-0.0016090108057006626,2.588915772861495e-06,0.0016090108057006626,0.09264968904558957,0.6594865382992261,31.060000000000002,31.160292462307858,31.3,32.016126799496384,35.0775,34.97291057399948,43.018,40.84425591171131,-0.11481719050673508,-0.27820912176298296,-4.009450488931414,-4.152800820192496,0.14335033126108243,35.0775,47.29631530134648,22.858684698653523,0.6966753788808484,0.33519269664563217,7.692307692307679,0.9071428571428566,0.029215550954681372,0.09264968904558957,0.06560496013180955,0.6594865382992261,0.680923519085809,0.10685184235031296,0.10026536580351182,0.07175332809453311,1,-1,0.0016090108057006858,0.0,0.0,-0.003174605840772654,0.011102413804305104,2.58891577286157e-06,0.0,0.0,1.0078122244267849e-05,0.00012326359228202453,0.7906726772567975,0.812997001337899,0.8095915396053824,0.8157395956614127,0.8408654709358497,4.7872340425531945,3.225806451612897,2.721088435374142,2.0356234096692134,25.57142857142857,-4.17575589742637,-4.332374714851902,-4.464170009604473,-4.6328492869136895,-4.291319736459386,1.4178571428571423,1.853571428571428,2.3999999999999995,3.039285714285714,5.478571428571428,0.7981954477451702,0.8281306578515147,0.8164526057174868,0.8063146463349901,0.6341398064304146,0.0016090108057006858,0.0,0.0,0.003174605840772654,2,11,4,2025,0,0,26,0,0,1,0,0,-1,0,0.00876035610320536,0,-0.44750889679715306,-0.44750889679715306,0.5697726474204091,2.5972671122567944e-06,0.0016116038943415328,0.12918290393480322
2025-11-12,31.0,31.55,31.7,31.0,4.78M,0.32%,0.004862236628849326,0.00485045413374948,2.3526905303607417e-05,0.00485045413374948,0.20061821445432157,0.14503122217732692,30.57,30.708601999718937,30.509999999999998,30.777156142963577,30.905,32.16802236200025,39.811,37.43964601417181,0.0030739362562691754,-0.2213207404988571,-2.3866560276521973,-3.0255674261521097,0.6389113984999124,30.905,31.957265725894047,29.852734274105956,0.0680967950748452,0.5451406891159946,49.019607843137244,0.5,0.016129032258064516,0.20061821445432157,0.1947970726828263,0.14503122217732692,0.63879116158256,0.18126411360718891,0.1208795920065473,0.23131833965154208,0,-1,0.0,0.027939368689241434,-0.004987541511039051,-0.003327790092674691,-0.0016090108057006626,0.0,0.0007806083227533646,2.4875570324337702e-05,1.107418690090383e-05,2.588915772861495e-06,0.14393894135983884,0.3529826754104262,0.3518670506819056,0.5026769154619211,0.6594865382992261,39.285714285714334,37.93103448275864,14.285714285714306,7.692307692307793,7.692307692307679,-2.5833242712465463,-2.781496112761566,-2.993977319746026,-3.284864347157761,-4.009450488931414,0.47142857142857153,0.4285714285714288,0.3714285714285716,0.31428571428571445,0.9071428571428566,0.07178563809938669,0.07262509143214144,0.07377680878137707,0.1766054945137785,0.6966753788808484,0.0,0.027939368689241434,0.004987541511039051,0.003327790092674691,2,11,4,2025,0,0,12,0,0,1,0,0,-1,0,0.19248889576537423,0,-0.44839857651245557,-0.4661921708185054,0.13891039027032287,1.0439493997731084e-05,0.003231020581446532,0.1439868161686765
