Date,Price,Open,High,Low,Volume,log_return,simple_return,hist_vol_5d,hist_vol_10d,hist_vol_21d,hist_vol_63d,hist_vol_126d,hist_vol_252d,ma_5d,ma_ratio_5d,ma_10d,ma_ratio_10d,ma_20d,ma_ratio_20d,ma_50d,ma_ratio_50d,ma_200d,ma_ratio_200d,rsi_14d,macd,macd_signal,bb_middle,bb_upper,bb_lower,bb_width,atr_14d,price_lag_1,return_lag_1,vol_lag_1,price_lag_2,return_lag_2,vol_lag_2,price_lag_3,return_lag_3,vol_lag_3,price_lag_5,return_lag_5,vol_lag_5,price_lag_10,return_lag_10,vol_lag_10,target_vol_1d
2021-01-07,6.7,6.7,6.75,6.4,0,0.0,0.0,1.030833453982907,0.859521793602249,0.7065520854125031,0.7688611821119514,0.7133540888087879,0.6095222291805571,6.486,1.0329941412272587,6.252000000000001,1.071657069737684,6.4445,1.039646209946466,6.7410000000000005,0.9939178163477228,4.909,1.3648400896312896,59.55555555555557,-0.05566049361735814,-0.11033426566188584,6.4445,7.360589515276773,5.528410484723226,0.28430119179975905,0.38785714285714273,6.7,0.02417036092781297,0.7065520854125031,6.54,0.0,0.6996409472270423,6.54,0.09454594591156883,0.6996409472270423,6.49,0.09531017980432474,0.5299851191109363,6.1,-0.027487583465563757,0.5462298994871817,0.7155698503366584
2021-01-08,6.9,6.7,6.9,6.9,0,0.029413885206293407,0.029850746268656803,0.6148072149300917,0.829392809593473,0.7155698503366584,0.75567634144771,0.7142177982823468,0.6102985860041554,6.675999999999999,1.0335530257639307,6.352,1.086272040302267,6.4305,1.073011429904362,6.7588,1.0208912824761793,4.9175,1.4031520081342146,62.857142857142875,-0.01386613166450168,-0.09104063886240901,6.4305,7.306963587978797,5.554036412021204,0.2725957819699235,0.38285714285714284,6.7,0.0,0.7065520854125031,6.7,0.02417036092781297,0.7065520854125031,6.54,0.0,0.6996409472270423,5.95,-0.0868713111584602,0.6007587521639307,5.9,-0.03333642026759172,0.5540666391385057,0.721325643644846
2021-01-11,7.07,6.9,7.07,6.9,0,0.024339068305267622,0.02463768115942022,0.22830675182085167,0.8255183186658234,0.721325643644846,0.7552528294884644,0.7147428885262213,0.6105018609484626,6.781999999999999,1.0424653494544385,6.468999999999999,1.0929046220435927,6.425,1.1003891050583658,6.778199999999999,1.0430497772269927,4.9266,1.4350667803353228,65.26717557251911,0.0325980109671038,-0.06631290889650644,6.425,7.282843072386868,5.567156927613132,0.2670328629998033,0.36499999999999994,6.9,0.029413885206293407,0.7155698503366584,6.7,0.0,0.7065520854125031,6.7,0.02417036092781297,0.7065520854125031,6.54,0.09454594591156883,0.6996409472270423,5.9,0.0,0.5540666391385057,0.721325643644846
2021-01-12,7.07,7.07,7.07,6.85,0,0.0,0.0,0.22830675182085164,0.8255183186658234,0.721325643644846,0.7538900659041443,0.7011680461596899,0.610424713955086,6.888,1.0264227642276422,6.586,1.0734892195566352,6.419499999999999,1.1013318794298623,6.7856000000000005,1.0419122848384814,4.93445,1.4327837955597889,65.26717557251911,0.06863005421446378,-0.039324316274312404,6.419499999999999,7.258157448419501,5.580842551580497,0.26128435187148596,0.3507142857142857,7.07,0.024339068305267622,0.721325643644846,6.9,0.029413885206293407,0.7155698503366584,6.7,0.0,0.7065520854125031,6.54,0.0,0.6996409472270423,5.9,0.0,0.5217848531340527,0.733337020157923
2021-01-13,6.8,7.07,6.9,6.76,0,-0.03893786772642047,-0.03818953323903829,0.4296267053532056,0.8712835672756235,0.733337020157923,0.7309374251198351,0.6983671581658514,0.6115985477835351,6.9079999999999995,0.9843659525188189,6.676,1.0185739964050329,6.400499999999999,1.062416998671979,6.7741999999999996,1.003808567801364,4.94095,1.3762535544783898,62.86764705882353,0.07453971710952345,-0.016551509597545234,6.400499999999999,7.181874632164053,5.619125367835945,0.24416049751239874,0.36071428571428577,7.07,0.0,0.721325643644846,7.07,0.024339068305267622,0.721325643644846,6.9,0.029413885206293407,0.7155698503366584,6.7,0.02417036092781297,0.7065520854125031,5.9,0.0,0.38654781963077056,0.733337020157923
2021-01-14,6.8,6.8,6.9,6.73,0,0.0,0.0,0.4296267053532056,0.7450648974384411,0.733337020157923,0.710840767170238,0.6979480692305028,0.6115985477835351,6.928,0.9815242494226328,6.706999999999999,1.0138661100342927,6.417,1.0596852111578619,6.7702,1.0044016424920976,4.94995,1.3737512500126263,67.85714285714285,0.07832033941067262,0.002422860204098338,6.417,7.218238514984629,5.615761485015371,0.2497237073350877,0.35857142857142865,6.8,-0.03893786772642047,0.733337020157923,7.07,0.0,0.721325643644846,7.07,0.024339068305267622,0.721325643644846,6.7,0.0,0.7065520854125031,6.49,0.09531017980432474,0.5299851191109363,0.6336146990667331
2021-01-15,6.8,6.8,6.9,6.5,0,0.0,0.0,0.3607674270341992,0.5477102288704538,0.6336146990667331,0.710840767170238,0.6979480692305028,0.6115985477835351,6.9079999999999995,0.9843659525188189,6.792,1.0011778563015312,6.4435,1.0553270737952976,6.7682,1.0046984427174137,4.95895,1.371258028413273,67.85714285714285,0.08038982594962718,0.018016253353204108,6.4435,7.259195376576609,5.627804623423391,0.25318394555027823,0.3714285714285715,6.8,0.0,0.733337020157923,6.8,-0.03893786772642047,0.733337020157923,7.07,0.0,0.721325643644846,6.9,0.029413885206293407,0.7155698503366584,5.95,-0.0868713111584602,0.6007587521639307,0.6282684789586692
2021-01-18,6.65,6.8,6.65,6.65,0,-0.022305757514298162,-0.022058823529411686,0.28214096865756944,0.3358189676672909,0.6282684789586692,0.7111114227346026,0.69895777226345,0.6119612769957669,6.824,0.9745017584994139,6.803,0.9775099220931942,6.4625,1.0290135396518376,6.763199999999999,0.9832623610125386,4.9672,1.3387824126268322,64.04494382022472,0.06912928319867007,0.028238859322297298,6.4625,7.278881618710549,5.646118381289452,0.2526519516318912,0.3457142857142857,6.8,0.0,0.6336146990667331,6.8,0.0,0.733337020157923,6.8,-0.03893786772642047,0.733337020157923,7.07,0.024339068305267622,0.721325643644846,6.54,0.09454594591156883,0.6996409472270423,0.6282684789586692
2021-01-19,6.65,6.65,6.65,6.47,0,0.0,0.0,0.28214096865756944,0.3358189676672909,0.6282684789586692,0.687567545194915,0.69895777226345,0.6119612769957669,6.74,0.9866468842729971,6.814,0.975931904901673,6.4815,1.025997068579804,6.7662,0.9828264018208153,4.9754499999999995,1.3365625219829365,64.04494382022472,0.05951912254537106,0.034494911966912054,6.4815,7.29670484994169,5.666295150058309,0.2515482064157034,0.32285714285714295,6.65,-0.022305757514298162,0.6282684789586692,6.8,0.0,0.6336146990667331,6.8,0.0,0.733337020157923,7.07,0.0,0.721325643644846,6.54,0.0,0.6996409472270423,0.6295609651649072
2021-01-20,6.59,6.65,6.59,6.59,0,-0.009063506153346964,-0.009022556390977488,0.15531237153719618,0.31421075853405794,0.6295609651649072,0.6624391687776858,0.6991913674320265,0.6119346122260026,6.698,0.9838757838160644,6.803,0.9686902836983684,6.4975,1.0142362447095037,6.768,0.9736997635933806,4.9814,1.3229212671136628,52.336448598130836,0.046525189013068236,0.03690096737614329,6.4975,7.307772858525565,5.687227141474434,0.2494106528743565,0.28500000000000014,6.65,0.0,0.6282684789586692,6.65,-0.022305757514298162,0.6282684789586692,6.8,0.0,0.6336146990667331,6.8,-0.03893786772642047,0.733337020157923,6.7,0.02417036092781297,0.7065520854125031,0.6295609651649072
