Model,RMSE,MAE,MAPE,R2,Directional_Accuracy
Random Forest,0.024908433880417875,0.02151379337866948,8.986229453004526,0.9429836862514739,48.0
Ridge,0.03232021169973148,0.024987927503508346,9.936564410486966,0.9040036578500645,52.0
XGBoost,0.03398540582516753,0.02896103643485854,11.520412921777204,0.8938570357546402,48.0
SVR,0.10010948068661432,0.09316667897412265,37.61276712596885,0.07900619612779058,60.0
