Model,RMSE,MAE,MAPE,R2,Directional_Accuracy
Ridge,0.041054147202626026,0.033196563777109375,9.058175706003182,0.7745194884225458,66.66666666666666
XGBoost,0.04807350764503501,0.041300981441856295,13.311152607511731,0.6908234379796059,88.88888888888889
Random Forest,0.04963324302605064,0.039114357500459426,13.587549026363302,0.6704356346470144,77.77777777777779
SVR,0.06802604820478345,0.0577374833541419,18.557652463963453,0.3809219212629086,66.66666666666666
