Model,RMSE,MAE,MAPE,R2,Directional_Accuracy
XGBoost,0.04048177333619586,0.0344408192474665,7.556920108190765,0.8905832268276609,66.66666666666666
Ridge,0.040850806156903834,0.036412632038267945,7.11182031319704,0.8885792422075229,66.66666666666666
Random Forest,0.04580776563335871,0.03779989193299181,7.152581013363813,0.8598984105250765,77.77777777777779
SVR,0.08739028964593899,0.06954050577638,11.66021412098707,0.49009273159681166,66.66666666666666
