Stock,Rank,Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,QLIKE,MZ_Alpha,MZ_Beta
FIRSTHOLDC,1,Ridge,0.034773095976892945,0.022019788311792965,5.841300066329215,0.9809932556496714,54.310344827586206,-1.2100409001545287,-0.006749532647004092,1.030095611476471
FIRSTHOLDC,2,XGBoost,0.04580090268493732,0.03730591282886804,12.789211929819224,0.9670261931308335,50.0,-1.1843148377058577,-0.05251182358109686,1.1486930903423533
FIRSTHOLDC,3,Random Forest,0.057430355962828424,0.038126000240025666,10.374925989231048,0.9481553399589705,56.03448275862068,-1.1933961356446652,-0.048573162778936516,1.1620319272553907
FIRSTHOLDC,4,SVR,0.0845758651023153,0.052231470270769055,11.913778352613457,0.8875617927878734,50.0,-1.1752566350833982,-0.050837981704102315,1.1959227264116952
FIRSTHOLDC,5,GARCH-EGARCH,0.7622123196584565,0.6465274043923204,279.18521694231106,-8.132148032701659,43.96551724137931,1.2047117217023864,0.5790465241039268,-0.2056106448732648
