Stock,Rank,Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,QLIKE,MZ_Alpha,MZ_Beta
SEPLA,1,XGBoost,0.009372325046699928,0.00769136553913064,2.1069871094659613,-46.00888290557436,11.11111111111111,-1.009550253064519,0.31453596189550603,0.1430270619603486
SEPLA,2,Ridge,0.011133053942082074,0.009692812438520475,2.6530643643280327,-65.3305919765781,0.0,-1.0090006995548702,0.34163621441774944,0.06719831411426438
SEPLA,3,Random Forest,0.01773063694764723,0.014413019157020817,3.9446577929557676,-167.24180580625807,0.0,-1.0065809617774524,0.3687056555689543,-0.007775927923327387
SEPLA,4,SVR,0.027336460378393514,0.022943599384508812,6.2824859180076515,-398.91694519745886,0.0,-0.9985460455744553,0.3586457257180893,0.02050585107820079
