Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,Current_Vol_%,Risk_Level,Investment_Signal,MZ_Optimal
Random Forest,0.019326756049803526,0.01561738410235047,6.7244229384283285,0.7836493297510485,66.66666666666666,21.10077759246698,LOW,✅ FAVORABLE ENTRY,False
XGBoost,0.02469110153990942,0.020346547942895036,8.787325042426556,0.6468808696784483,77.77777777777779,23.930764,LOW,✅ FAVORABLE ENTRY,False
Ridge,0.056214209064614135,0.05029955039593096,20.383532495164083,-0.8303431754992092,77.77777777777779,11.45278016752356,LOW,✅ FAVORABLE ENTRY,False
SVR,0.12374819670428647,0.1169918949829564,49.644117570641406,-7.869886717595813,77.77777777777779,39.11057003687996,HIGH,⚠️ CAUTION,False
