Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,Current_Vol_%,Risk_Level,Investment_Signal,MZ_Optimal
Ridge,0.04105414720262602,0.03319656377710936,9.058175706003174,0.7745194884225458,66.66666666666666,28.93528175107828,MODERATE,➡️ HOLD / MAINTAIN,False
XGBoost,0.04795999928415909,0.04104016440702811,13.255137716366184,0.6922817336353038,88.88888888888889,32.741824,MODERATE,➡️ HOLD / MAINTAIN,False
Random Forest,0.04981131348465646,0.03970693445693679,13.723836468693168,0.6680666195212874,77.77777777777779,33.89004282024994,MODERATE,➡️ HOLD / MAINTAIN,False
SVR,0.06802604820478343,0.05773748335414188,18.557652463963446,0.3809219212629088,66.66666666666666,37.93190344183965,MODERATE,➡️ HOLD / MAINTAIN,False
