Stock,Rank,Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,QLIKE,MZ_Alpha,MZ_Beta
ACCESS,1,Ridge,0.04227500189753798,0.03024043733622366,9.207721902414496,0.8910441971883927,69.49152542372882,-0.9498342705760379,-0.011338750990354406,0.9972033187211408
ACCESS,2,XGBoost,0.046912876205530904,0.03556831295803704,11.02289485538706,0.8658263563323245,66.10169491525424,-0.9426491797648784,-0.0527618994133621,1.104971518924968
ACCESS,3,Random Forest,0.055311194157400274,0.04063023181759096,12.497705770810263,0.8134869760908416,74.57627118644068,-0.9309342500562897,-0.0596760608832067,1.1271843207721013
ACCESS,4,SVR,0.0631588740442201,0.05249841283979847,16.883433309513027,0.7568065623826823,61.016949152542374,-0.9174203816051872,-0.09323525827490674,1.1324545756251598
