Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,Current_Vol_%,Risk_Level,Investment_Signal,MZ_Optimal
Ridge,0.04363934969884179,0.032070849124182545,8.357330033022587,0.9507977801997108,63.47826086956522,53.592911317064505,MODERATE,➡️ HOLD / MAINTAIN,True
XGBoost,0.04643510206674384,0.03452479616866048,9.702884805245617,0.9442915640818648,61.73913043478261,51.337075,MODERATE,➡️ HOLD / MAINTAIN,True
Random Forest,0.09559835278635888,0.08221697592073521,20.348931881978633,0.7638820659087506,61.73913043478261,65.18974932348218,HIGH,⚠️ CAUTION,False
SVR,0.1883654921470586,0.1597503739787293,52.136448094206635,0.08329237117951682,53.04347826086957,69.68907681083937,HIGH,⚠️ CAUTION,False
