Stock,Model,MSE,RMSE,MAE,MAPE,R2,Directional_Accuracy,QLIKE,MZ_Alpha,MZ_Beta
DANGSUG,Random Forest,0.0024811669510667184,0.04981131348465646,0.03970693445693679,13.723836468693168,0.6680666195212874,77.77777777777779,-1.0285283842796527,-0.17441576242143556,1.3911244866261523
DANGSUG,XGBoost,0.00230016153133654,0.04795999928415909,0.04104016440702811,13.255137716366184,0.6922817336353038,88.88888888888889,-1.0329526517729968,-0.17382151592430972,1.470470647600095
DANGSUG,Ridge,0.001685443002534886,0.04105414720262602,0.03319656377710936,9.058175706003174,0.7745194884225458,66.66666666666666,-1.047209128794127,0.06579057390985928,0.8095242692805757
DANGSUG,SVR,0.00462754323435952,0.06802604820478343,0.05773748335414188,18.557652463963446,0.3809219212629088,66.66666666666666,-1.0075768791618895,-0.08785442606505071,1.0983876008210176
DANGCEM,Random Forest,0.0005913695911541145,0.024318091848541785,0.02226129137657652,10.903680884488434,0.9732843244483336,11.11111111111111,-2.112432162254258,-0.031911436205037086,1.0773279057743808
DANGCEM,XGBoost,0.0029940450084253853,0.054717867359989326,0.032070300391903755,8.492556076783089,0.8647412105244117,22.22222222222222,-2.0939988141641,-0.06507714389934187,1.424280125996647
DANGCEM,Ridge,0.0007635452517332229,0.027632322590278636,0.026243431898104123,13.969436813346897,0.9655061276070851,33.33333333333333,-2.098630676012733,-0.041594278514827596,1.091351406243722
DANGCEM,SVR,0.001938073945389731,0.0440235612529215,0.0324608849425204,13.013867431185938,0.9124456930240148,11.11111111111111,-2.0936094910701386,-0.07436033927707367,1.3364423209111465
MTNN,Random Forest,0.0032375253187504295,0.05689925587167577,0.04341697118309236,10.945138902067109,0.5196181370955386,44.44444444444444,-0.7889276029726188,0.1176155375253723,0.7638221759947651
MTNN,XGBoost,0.002511227702345289,0.050112151244436604,0.03758235397809747,9.78092533528602,0.6273856964628997,44.44444444444444,-0.7964573153141586,0.13671437008487827,0.6877073410532946
MTNN,Ridge,0.005772883462693987,0.0759794936985894,0.05579975769508629,14.556131616344722,0.14342337461328392,55.55555555555556,-0.6793901322527867,0.15969277937381265,0.7017901299824277
MTNN,SVR,0.016839497054939676,0.12976708771849538,0.10623435277511047,23.52639446664285,-1.4986334218841977,44.44444444444444,-0.5257424950441617,0.5089841644639255,-0.3421293833145067
GTCO,Random Forest,0.0007180326665164779,0.026796131558799265,0.023192638797434637,9.486109434642104,0.9340141988231592,48.0,-1.6323486724119731,-0.06844254623997435,1.2060542631840065
GTCO,XGBoost,0.0011404477934929458,0.03377051663053063,0.028774679785239655,11.456904884675206,0.895195072782576,48.0,-1.6245614811949793,-0.08792251222870402,1.2555974452347216
GTCO,Ridge,0.0010445960843154611,0.0323202116997315,0.024987927503508353,9.936564410486973,0.9040036578500644,52.0,-1.5996244377565216,0.034013026075275135,0.950828406053822
GTCO,SVR,0.010021908123343602,0.10010948068661431,0.09316667897412263,37.61276712596885,0.0790061961277908,60.0,-1.463818278443039,-0.11395846711155806,1.1591981913894376
SEPLAT,Random Forest,0.0014630327699561598,0.03824961137000165,0.03136742845446812,6.67356018272515,0.2574273899520301,22.22222222222222,-0.454162732770227,0.07229401804522534,0.8014468984448332
SEPLAT,XGBoost,0.0017880445916138555,0.04228527629818511,0.03107109936523248,6.962525095488112,0.09246534558713704,22.22222222222222,-0.44387741066763803,0.2339260661333337,0.5192726928492972
SEPLAT,Ridge,0.000711324403093983,0.026670665591506767,0.023879826400793402,5.0449719934976285,0.6389622779179847,22.22222222222222,-0.4587527129342982,0.05558107411165086,0.9152118421649169
SEPLAT,SVR,0.01005352356243604,0.10026726067084929,0.09422489653373842,19.02440232328931,-4.102736852682117,22.22222222222222,-0.34587402844603404,-0.6357630873738301,2.879217971900041
