Stock,Model,Current_Vol_%,Historical_Percentile,Risk_Level,Recommendation,Action,Color_Code,Volatility_Trend,Risk_Adjusted_Score,Investment_Horizon
ZENITH,Random Forest,62.007127081111754,90.50632911392405,VERY HIGH,AVOID or REDUCE POSITION,Consider selling or hedging. Volatility is in top 20% historically.,RED,Rising,1.6101211680488818,Short-term only
ZENITH,XGBoost,55.76988000000001,96.83544303797468,VERY HIGH,AVOID or REDUCE POSITION,Consider selling or hedging. Volatility is in top 20% historically.,RED,Rising,1.7898731839051738,Short-term only
ZENITH,Ridge,64.13096114134704,98.10126582278481,VERY HIGH,AVOID or REDUCE POSITION,Consider selling or hedging. Volatility is in top 20% historically.,RED,Rising,1.5568815758484353,Short-term only
ZENITH,SVR,59.2012128415074,88.60759493670886,VERY HIGH,AVOID or REDUCE POSITION,Consider selling or hedging. Volatility is in top 20% historically.,RED,Rising,1.6863061513980675,Short-term only
