Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,Current_Vol_%,Risk_Level,Investment_Signal,MZ_Optimal
Ridge,0.02270575092941252,0.020488368715764132,4.730968949181265,0.7123806306756051,55.55555555555556,36.35672083186624,LOW,✅ FAVORABLE ENTRY,False
Random Forest,0.028243428590492982,0.022587223466221572,5.601344607820134,0.5549782641262461,66.66666666666666,40.59555603746461,LOW,✅ FAVORABLE ENTRY,False
XGBoost,0.046159675888876886,0.03992130663433803,9.891130785089222,-0.18869898546834785,77.77777777777779,44.86763,VERY HIGH,⚠️ AVOID or REDUCE POSITION,False
SVR,0.09871779912819997,0.09158777596030065,22.43728872335812,-4.436724414183583,55.55555555555556,51.97357959769901,HIGH,⚠️ CAUTION,False
