Date,Price,Open,High,Low,Vol,Change_%,simple_return,log_return,squared_return,abs_return,realized_vol_5d,realized_vol_21d,stock,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,price_dist_sma20,price_dist_sma50,macd,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,bb_width,bb_position,rsi,atr_14,atr_ratio,volume_sma_20,volume_ratio,hist_vol_5d,hist_vol_10d,hist_vol_21d,hist_vol_63d,parkinson_vol,garman_klass_vol,vol_of_vol,high_vol_regime,vol_trend,log_return_lag_1,log_return_lag_2,log_return_lag_3,log_return_lag_5,log_return_lag_10,squared_return_lag_1,squared_return_lag_2,squared_return_lag_3,squared_return_lag_5,squared_return_lag_10,hist_vol_21d_lag_1,hist_vol_21d_lag_2,hist_vol_21d_lag_3,hist_vol_21d_lag_5,hist_vol_21d_lag_10,rsi_lag_1,rsi_lag_2,rsi_lag_3,rsi_lag_5,rsi_lag_10,macd_lag_1,macd_lag_2,macd_lag_3,macd_lag_5,macd_lag_10,atr_14_lag_1,atr_14_lag_2,atr_14_lag_3,atr_14_lag_5,atr_14_lag_10,bb_width_lag_1,bb_width_lag_2,bb_width_lag_3,bb_width_lag_5,bb_width_lag_10,abs_return_lag_1,abs_return_lag_2,abs_return_lag_3,abs_return_lag_5,day_of_week,month,quarter,year,is_month_start,is_month_end,day_of_month,dow_0,dow_1,dow_2,dow_3,dow_4,trend,high_prev_vol,return_zscore,is_jump,drawdown,max_drawdown_21d,target_vol_1d,target_squared_ret,target_abs_ret,target_vol_5d
2020-04-02,765.0,765.0,765.0,760.0,147300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537176501796709,NESTLE,765.0,773.1987307814833,799.0,801.8825986423582,867.375,871.1550872774875,1093.59,1042.979413136624,-0.11802853437094682,-0.30046909719364656,-96.722126514494,-98.89155548303867,2.169428968544679,867.375,1041.0047558175584,693.7452441824416,0.400356837163991,0.20519166050210128,0.0,172.5642857142857,0.2255742296918767,527590.0,0.2791940711537368,0.0,0.5289055909555247,0.5371765017967085,0.4959787815141084,0.5494143458057497,0.493334256483151,0.04366811720491708,1,-1,0.0,0.0,0.0,-0.1053605156578262,-0.0346855579878899,0.0,0.0,0.0,0.011100838259683,0.0012030879329312,0.5371765017967085,0.5973105507443831,0.6737877736497865,0.6737877736497865,0.657011472902495,0.0,0.0,0.0,0.0,15.517241379310349,-99.34675851567499,-101.25169960059065,-102.21034513660163,-100.12852949842488,-100.49352892985894,237.58571428571426,300.10714285714283,301.5857142857143,443.65714285714284,585.5857142857143,0.406477658579984,0.42705574704146027,0.43381731901334847,0.41614773528711096,0.3860782679876487,0.0,0.0,0.0,0.1053605156578262,3,4,2,2020,0,0,2,0,0,0,1,0,-1,0,0.029996475444953534,0,-0.4795564324103681,-0.4795564324103681,0.5155049519436453,0.0,0.0,0.5806589449021569
2020-04-03,765.0,765.0,765.0,750.0,625550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5155049519436455,NESTLE,765.0,770.4658205209889,790.5,795.1766716164749,854.775,861.0450789653459,1081.29,1032.078259680286,-0.10502763885232953,-0.2925117221097023,-93.56354444502745,-97.82595327543643,4.262408830408987,854.775,1019.0068242767369,690.5431757232631,0.3842691334602367,0.22668208370892337,0.0,108.25714285714285,0.1415126050420168,551295.5,1.1346909234702622,0.0,0.5289055909555247,0.5155049519436453,0.4959787815141084,0.5558637433926393,0.5377910445033204,0.050026080728187275,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5371765017967085,0.5371765017967085,0.5973105507443831,0.6737877736497865,0.657011472902495,0.0,0.0,0.0,0.0,21.50170648464163,-96.722126514494,-99.34675851567499,-101.25169960059065,-101.94722950966889,-101.11438661979082,172.5642857142857,237.58571428571426,300.10714285714283,371.0142857142857,579.2285714285714,0.400356837163991,0.406477658579984,0.42705574704146027,0.41205853956804867,0.4030287275969294,0.0,0.0,0.0,0.0,4,4,2,2020,0,0,3,0,0,0,0,1,-1,0,0.029996475444953534,0,-0.4795564324103681,-0.4795564324103681,0.5155049519436453,0.0,0.0,0.5806589449021569
2020-04-06,765.0,765.0,765.0,765.0,440640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5155049519436455,NESTLE,765.0,768.643880347326,782.0,789.6900040498431,842.175,851.8979285876939,1068.99,1021.6046024379219,-0.09163772375100182,-0.2843712289170151,-90.02262066473293,-96.26528675329574,6.242666088562814,842.175,992.041493218049,692.3085067819509,0.3559034481385676,0.24252083189898302,0.0,42.878571428571426,0.05605042016806722,571693.5,0.7707626551639996,0.0,0.5289055909555247,0.5155049519436453,0.4959787815141084,0.49211201989861003,0.40168910607941627,0.054838692702455845,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5155049519436453,0.5371765017967085,0.5371765017967085,0.6737877736497865,0.5973105507443831,0.0,0.0,0.0,0.0,0.0,-93.56354444502745,-96.722126514494,-99.34675851567499,-102.21034513660163,-100.44851288261714,108.25714285714285,172.5642857142857,237.58571428571426,301.5857142857143,579.7285714285714,0.3842691334602367,0.400356837163991,0.406477658579984,0.43381731901334847,0.4120140372977996,0.0,0.0,0.0,0.0,0,4,2,2020,0,0,6,1,0,0,0,0,-1,0,0.029996475444953534,0,-0.4795564324103681,-0.4795564324103681,0.5154618250426315,1.7089678920425708e-08,0.0001307274987155,0.5806589449021569
2020-04-07,764.9,765.0,765.0,764.9,773500.0,-0.01,-0.0001307189542484,-0.0001307274987155,1.7089678920425708e-08,0.0001307274987155,0.0009280731746955,0.5154618250426319,NESTLE,764.9799999999999,767.3959202315507,773.49,785.1827305862353,829.57,843.612411579342,1056.688,1011.5377552834937,-0.07795604951963074,-0.2761344881365172,-86.2304710287217,-94.25832360838093,8.027852579659239,829.57,958.4638869972703,700.6761130027298,0.31074866978620297,0.2491347281606548,0.0,40.364285714285714,0.05277067030237379,608450.5,1.2712620007708104,0.0009280731746951407,0.5288330767931785,0.5154618250426315,0.4959677448985714,0.23608594851739118,0.1744712309731048,0.05849220383533623,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5155049519436453,0.5155049519436453,0.5371765017967085,0.5973105507443831,0.5973105507443831,0.0,0.0,0.0,0.0,0.0,-90.02262066473293,-93.56354444502745,-96.722126514494,-101.25169960059065,-98.78210453716645,42.878571428571426,108.25714285714285,172.5642857142857,300.10714285714283,508.65714285714284,0.3559034481385676,0.3842691334602367,0.400356837163991,0.42705574704146027,0.4128979271827444,0.0,0.0,0.0,0.0,1,4,2,2020,0,0,7,0,1,0,0,0,-1,0,0.03723389001854959,0,-0.4796244642492687,-0.4796244642492687,0.5155053696503352,1.7089678920412496e-08,0.0001307274987155,0.7731775668333374
2020-05-21,995.0,995.0,1094.5,1055.0,9820.0,0.0,0.0,0.0,0.0,0.0,0.3140249586109056,0.3944211849890393,NESTLE,1004.0,999.8078812789058,1006.0,995.9782643237631,971.04,974.7908053559299,901.8,978.9296301241133,0.024674575712638036,0.10334885783987587,25.894965662942468,25.974436372514877,-0.07947070957240854,971.04,1059.9498040890853,882.1301959109147,0.18312284579231608,0.634743295441258,72.69417475728154,63.20714285714286,0.06352476669059584,307229.5,0.031963076462383985,0.3140249586109054,0.31270643357503847,0.3944211849890386,0.5805036816595053,0.5455261678906966,0.6030904067775527,0.0797589799096804,1,-1,0.0,0.0,-0.0442332549768255,0.0392207131532813,0.0253178079842897,0.0,0.0,0.0019565808458448,0.0015382643402519,0.0006409914011293,0.3944211849890386,0.3951985403248011,0.4399352762142014,0.5072015993152622,0.5563859918866828,72.69417475728154,72.69417475728154,74.28571428571428,100.0,70.01845018450183,27.668869642776713,29.530559891324742,31.477218210143178,31.021787843770767,19.090141614595495,60.371428571428574,56.464285714285715,51.857142857142854,50.80714285714284,53.28571428571427,0.18189427284677537,0.18055271222732905,0.1790949785519872,0.16986745598508776,0.3095279194439289,0.0,0.0,0.0442332549768255,0.0392207131532813,3,5,2,2020,0,0,21,0,0,0,1,0,1,0,0.029996475444953534,0,-0.32308320293897547,-0.38091026600449013,0.3944211849890386,0.0,0.0,0.0
2020-05-22,995.0,995.0,1094.5,1094.5,73260.0,0.0,0.0,0.0,0.0,0.0,0.3140249586109056,0.3944211849890393,NESTLE,995.0,998.2052541859373,1005.5,995.8003980830788,975.29,976.7154905601271,901.36,979.5598407074814,0.020209373622204714,0.1038874589509186,24.210055528736802,25.621560203759262,-1.41150467502246,975.29,1059.9384718673368,890.6415281326632,0.17358626022482915,0.6164226569316572,72.69417475728154,66.04285714285716,0.06637473079684136,220892.5,0.3316545378408049,0.3140249586109054,0.31270643357503847,0.3944211849890386,0.5805036816595053,0.53504475695943,0.547052843908512,0.08325244889887623,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3944211849890386,0.3944211849890386,0.3951985403248011,0.5072015993152622,0.5563859918866828,72.69417475728154,72.69417475728154,72.69417475728154,100.0,60.122699386503065,25.894965662942468,27.668869642776713,29.530559891324742,33.50401165401479,22.471726360625553,63.20714285714286,60.371428571428574,56.464285714285715,50.16428571428571,54.22857142857141,0.18312284579231608,0.18189427284677537,0.18055271222732905,0.17742204283528876,0.27944862960973893,0.0,0.0,0.0,0.0,4,5,2,2020,0,0,22,0,0,0,0,1,1,0,0.029996475444953534,0,-0.32308320293897547,-0.38091026600449013,0.301752801899627,0.0,0.0,0.0
2020-05-27,995.0,995.0,1094.5,1094.5,27670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3017528018996278,NESTLE,995.0,997.1368361239582,1005.0,995.6548711588825,979.54,978.4568724115436,902.9540000000001,980.1653371503253,0.01578291851277134,0.10193874771029303,22.61407117255021,25.020062397517457,-2.405991224967245,979.54,1058.746496277977,900.3335037220229,0.1617218210138985,0.5975930051604783,59.09090909090909,69.2357142857143,0.06958363244795407,221214.0,0.12508249929932103,0.0,0.31270643357503847,0.301752801899627,0.5502826130663647,0.4244737999736772,0.3755426454141111,0.08998538978921163,1,-1,0.0,0.0,0.0,-0.0442332549768255,0.0,0.0,0.0,0.0,0.0019565808458448,0.0,0.3944211849890386,0.3944211849890386,0.3944211849890386,0.4399352762142014,0.556348023571738,72.69417475728154,72.69417475728154,72.69417475728154,74.28571428571428,58.064516129032256,24.210055528736802,25.894965662942468,27.668869642776713,31.477218210143178,24.865028069217487,66.04285714285716,63.20714285714286,60.371428571428574,51.857142857142854,57.22857142857141,0.17358626022482915,0.18312284579231608,0.18189427284677537,0.1790949785519872,0.23646710815893388,0.0,0.0,0.0,0.0442332549768255,2,5,2,2020,0,0,27,0,0,1,0,0,1,0,0.029996475444953534,0,-0.32308320293897547,-0.38091026600449013,0.301752801899627,0.0,0.0,0.0
2020-05-28,995.0,995.0,1094.5,1094.5,28540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3017528018996278,NESTLE,995.0,996.4245574159722,1004.5,995.5358036754493,983.79,980.032408372349,904.548,980.7470886346263,0.011394708220250294,0.09999690453132393,21.10594586587922,24.23723909118981,-3.131293225310589,983.79,1056.1078335725924,911.4721664274075,0.14701884258346287,0.5775050872392871,59.09090909090909,69.55714285714286,0.06990667623833453,220566.5,0.12939408296364135,0.0,0.31270643357503847,0.301752801899627,0.5502826130663647,0.3023370200362589,0.21865936885364684,0.09298753449092854,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.301752801899627,0.3944211849890386,0.3944211849890386,0.3951985403248011,0.5563856048711352,59.09090909090909,72.69417475728154,72.69417475728154,72.69417475728154,58.064516129032256,22.61407117255021,24.210055528736802,25.894965662942468,29.530559891324742,26.45675985721141,69.2357142857143,66.04285714285716,63.20714285714286,56.464285714285715,54.52142857142856,0.1617218210138985,0.17358626022482915,0.18312284579231608,0.18055271222732905,0.21867845758434487,0.0,0.0,0.0,0.0,3,5,2,2020,0,0,28,0,0,0,1,0,1,0,0.029996475444953534,0,-0.32308320293897547,-0.38091026600449013,0.301752801899627,0.0,0.0,0.0
2020-05-29,995.0,995.0,1094.5,1094.5,171400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3017528018996278,NESTLE,995.0,995.9497049439815,1004.0,995.4383848253675,987.53,981.4578932892682,906.1419999999999,981.3060263352291,0.007564327159681253,0.09806189316906187,19.68384261004428,23.32655979496071,-3.642717184916428,987.53,1053.45516011997,921.6048398800298,0.13351525547572254,0.5566551524972122,47.05882352941176,74.87857142857145,0.07525484565685572,199986.5,0.8570578514049698,0.0,0.31270643357503847,0.301752801899627,0.5502826130663647,0.1567151839489286,0.08251897085353348,0.09262237220680443,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.301752801899627,0.301752801899627,0.3944211849890386,0.3944211849890386,0.49754650579403503,59.09090909090909,59.09090909090909,72.69417475728154,72.69417475728154,58.064516129032256,21.10594586587922,22.61407117255021,24.210055528736802,27.668869642776713,27.402341630059027,69.55714285714286,69.2357142857143,66.04285714285716,60.371428571428574,52.592857142857135,0.14701884258346287,0.1617218210138985,0.17358626022482915,0.18189427284677537,0.19316251909920226,0.0,0.0,0.0,0.0,4,5,2,2020,0,0,29,0,0,0,0,1,1,0,0.029996475444953534,0,-0.32308320293897547,-0.37397101843662833,0.3010135746831054,0.0,0.0,0.0
2020-06-01,995.0,995.0,1094.5,1094.5,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010135746831062,NESTLE,995.0,995.633136629321,999.5,995.3586784934824,991.2700000000001,982.7476177379094,907.7360000000001,981.8430449103182,0.003762849677686104,0.09613367763314432,18.345341852794263,22.33031620652742,-3.9849743537331577,991.2700000000001,1049.1024658411238,933.4375341588762,0.1166835793297967,0.5322483223372054,47.05882352941176,77.20000000000002,0.07758793969849248,196765.0,0.0008639747922648845,0.0,0.22204917769559712,0.3010135746831054,0.5502826130663647,0.0,0.0,0.09861423011560175,1,-1,0.0,0.0,0.0,0.0,0.0392207131532813,0.0,0.0,0.0,0.0,0.0015382643402519,0.301752801899627,0.301752801899627,0.301752801899627,0.3944211849890386,0.5072015993152622,47.05882352941176,59.09090909090909,59.09090909090909,72.69417475728154,100.0,19.68384261004428,21.10594586587922,22.61407117255021,25.894965662942468,31.021787843770767,74.87857142857145,69.55714285714286,69.2357142857143,63.20714285714286,50.80714285714284,0.13351525547572254,0.14701884258346287,0.1617218210138985,0.18312284579231608,0.16986745598508776,0.0,0.0,0.0,0.0,0,6,2,2020,1,0,1,1,0,0,0,0,1,0,0.029996475444953534,0,-0.32308320293897547,-0.37397101843662833,0.3010135746831054,0.0,0.0,0.0
