Date,Price,Open,High,Low,Vol,Change_%,simple_return,log_return,squared_return,abs_return,realized_vol_5d,realized_vol_21d,stock,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,price_dist_sma20,price_dist_sma50,macd,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,bb_width,bb_position,rsi,atr_14,atr_ratio,volume_sma_20,volume_ratio,hist_vol_5d,hist_vol_10d,hist_vol_21d,hist_vol_63d,parkinson_vol,garman_klass_vol,vol_of_vol,high_vol_regime,vol_trend,log_return_lag_1,log_return_lag_2,log_return_lag_3,log_return_lag_5,log_return_lag_10,squared_return_lag_1,squared_return_lag_2,squared_return_lag_3,squared_return_lag_5,squared_return_lag_10,hist_vol_21d_lag_1,hist_vol_21d_lag_2,hist_vol_21d_lag_3,hist_vol_21d_lag_5,hist_vol_21d_lag_10,rsi_lag_1,rsi_lag_2,rsi_lag_3,rsi_lag_5,rsi_lag_10,macd_lag_1,macd_lag_2,macd_lag_3,macd_lag_5,macd_lag_10,atr_14_lag_1,atr_14_lag_2,atr_14_lag_3,atr_14_lag_5,atr_14_lag_10,bb_width_lag_1,bb_width_lag_2,bb_width_lag_3,bb_width_lag_5,bb_width_lag_10,abs_return_lag_1,abs_return_lag_2,abs_return_lag_3,abs_return_lag_5,day_of_week,month,quarter,year,is_month_start,is_month_end,day_of_month,dow_0,dow_1,dow_2,dow_3,dow_4,trend,high_prev_vol,return_zscore,is_jump,drawdown,max_drawdown_21d,target_vol_1d,target_squared_ret,target_abs_ret,target_vol_5d
2020-03-31,9.0,9.0,9.85,9.0,316980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6349793857234772,DANGSUG,9.0,9.057075532088415,9.285,9.286987235094163,9.795,9.859155557010826,11.658,11.215983782918332,-0.08116385911179172,-0.2279979413278435,-0.7948954064486671,-0.8125416287911198,0.017646222342452722,9.795,11.24627892781367,8.34372107218633,0.2963305620854864,0.22610365079934852,29.72972972972974,2.6321428571428567,0.2924603174603174,671163.0,0.4722846760026998,0.0,0.5425999368959207,0.6349793857234768,0.4838840418636087,0.8285703754603053,0.9736436972654348,0.07429719235785424,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6349793857234768,0.6349793857234768,0.6349793857234768,0.6349793857234768,0.5362713189515855,27.5,17.741935483870975,17.741935483870975,20.3125,15.384615384615387,-0.8180756601964543,-0.8357628108316817,-0.8461814967576373,-0.8361124605706607,-0.839118741922368,2.5892857142857144,2.603571428571428,3.3249999999999997,3.989285714285714,6.575,0.2994158822956114,0.34211880245005416,0.3673803642249496,0.38152022109306416,0.351505016240686,0.0,0.0,0.0,0.0,1,3,1,2020,0,1,31,0,1,0,0,0,-1,0,0.03440726373205363,0,-0.4019933554817276,-0.4019933554817276,0.5433555642825468,0.000124842646256,0.0111733005981251,0.07932256533487532
2020-04-22,12.35,12.35,12.3,11.6,203680.0,0.0,0.0,0.0,0.0,0.0,0.1983964245641991,0.7236309355597592,DANGSUG,12.35,12.191131465731377,11.55,11.625779185772386,10.254999999999999,10.98171130925824,10.857000000000001,11.134193497539364,0.20429058995611904,0.1375149673022012,0.557629309473052,0.15997996073013096,0.397649348742921,10.254999999999999,13.469915894782707,7.040084105217291,0.6269948112691777,0.8258250088905668,89.41176470588236,0.7535714285714281,0.06101792943898204,699311.0,0.2912581097680431,0.19839642456419784,0.7798851128104528,0.7236309355597588,0.5998408841012419,0.5482421868881774,0.5962159752689749,0.07186230752880578,1,-1,0.0,0.0,0.0,0.082013151660835,0.0,0.0,0.0,0.0,0.0067261570453431,0.0,0.7236309355597588,0.7228794749061056,0.7228794749061056,0.7243008654136863,0.5402895964110409,89.41176470588236,89.41176470588236,89.41176470588236,97.43589743589745,12.000000000000028,0.5089244606796282,0.4393568251552278,0.3441725801745523,0.05305580727752712,-0.6947856997606472,0.7607142857142852,0.7571428571428568,0.771428571428571,0.8178571428571425,1.3607142857142855,0.6151057481621307,0.5845382187225844,0.5462202932411016,0.43445173388788655,0.2074336918678258,0.0,0.0,0.0,0.082013151660835,2,4,2,2020,0,0,22,0,0,1,0,0,1,0,0.03440726373205363,0,-0.1794019933554818,-0.40863787375415284,0.6093106096379093,0.0008265287642884,0.0287494132859858,0.3696400509234297
2020-05-11,12.8,12.8,13.8,12.2,278650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6056990133930085,DANGSUG,12.8,12.759040560445353,12.615,12.587392132243627,12.35,12.118797464686779,10.887,11.675037397846502,0.03643724696356284,0.17571415449618813,0.587245832926433,0.5684313877384048,0.018814445188028106,12.35,13.363591841449367,11.336408158550633,0.16414442776507968,0.721982844374779,69.56521739130439,0.4642857142857144,0.03627232142857144,829586.0,0.335890432095045,0.0,0.21864839135487948,0.605699013393008,0.5549682463410035,0.5689476709395536,0.46129692088494145,0.058101141583958134,1,-1,0.0,0.0,0.0,0.0277245480148549,0.0,0.0,0.0,0.0,0.0007686505626279,0.0,0.605699013393008,0.605699013393008,0.605699013393008,0.610935166477321,0.6093106096379093,69.56521739130439,69.56521739130439,53.33333333333338,80.00000000000003,84.44444444444446,0.6031884440884863,0.6147633631485832,0.6205951563758543,0.6079870683082564,0.5581574798097062,0.4000000000000001,0.4142857142857145,0.41071428571428586,0.5428571428571429,0.7142857142857139,0.2492084046851071,0.34804166731931924,0.4181767027364916,0.5136755926420348,0.6162061028000924,0.0,0.0,0.0,0.0277245480148549,0,5,2,2020,0,0,11,1,0,0,0,0,1,0,0.03440726373205363,0,-0.1495016611295681,-0.35215946843853824,0.5448112968696096,0.0,0.0,0.0
2020-05-12,12.8,12.8,13.1,11.9,339330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5448112968696099,DANGSUG,12.8,12.772693706963569,12.695,12.626048108199331,12.455000000000002,12.183673896621372,10.901000000000002,11.71915357832311,0.027699718988357994,0.1742042014494082,0.5680629229513041,0.5683576947809847,-0.000294771829680629,12.455000000000002,13.126134153974945,11.783865846025058,0.10776943460055291,0.7570275986974129,69.56521739130439,0.48214285714285726,0.03766741071428572,795552.5,0.4265337611282725,0.0,0.21864839135487948,0.5448112968696096,0.5549682463410035,0.6992577155503741,0.650518239474485,0.057002032047940326,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.605699013393008,0.605699013393008,0.605699013393008,0.605699013393008,0.6093106096379093,69.56521739130439,69.56521739130439,69.56521739130439,72.00000000000003,84.44444444444446,0.587245832926433,0.6031884440884863,0.6147633631485832,0.6190118065477428,0.5491674277038818,0.4642857142857144,0.4000000000000001,0.4142857142857145,0.48214285714285726,0.7035714285714283,0.16414442776507968,0.2492084046851071,0.34804166731931924,0.47189386084129714,0.6028363434220398,0.0,0.0,0.0,0.0,1,5,2,2020,0,0,12,0,1,0,0,0,1,0,0.03440726373205363,0,-0.1495016611295681,-0.2890365448504984,0.46160341031509095,0.0,0.0,0.0
2020-05-13,12.8,12.8,12.8,12.5,97370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4616034103150913,DANGSUG,12.8,12.781795804642382,12.73,12.657675724890362,12.51,12.242371620752671,10.915,11.761539712506519,0.02318145483613117,0.17269812185066438,0.5465599259855907,0.5639981410219059,-0.017438215036315263,12.51,13.095437308433057,11.924562691566942,0.09359509327466947,0.7476780996211153,69.56521739130439,0.4500000000000002,0.035156250000000014,668921.0,0.1455627794612518,0.0,0.1391761264665227,0.46160341031509095,0.5473533594317285,0.7065309438328646,0.7037617096782659,0.06930044011493791,1,-1,0.0,0.0,0.0,0.0,0.0368139731227161,0.0,0.0,0.0,0.0,0.00135526861708,0.5448112968696096,0.605699013393008,0.605699013393008,0.605699013393008,0.6122203674515646,69.56521739130439,69.56521739130439,69.56521739130439,53.33333333333338,85.85858585858587,0.5680629229513041,0.587245832926433,0.6031884440884863,0.6205951563758543,0.5717630572197869,0.48214285714285726,0.4642857142857144,0.4000000000000001,0.41071428571428586,0.6785714285714283,0.10776943460055291,0.16414442776507968,0.2492084046851071,0.4181767027364916,0.5905280151018999,0.0,0.0,0.0,0.0,2,5,2,2020,0,0,13,0,0,1,0,0,1,0,0.03440726373205363,0,-0.1495016611295681,-0.22259136212624592,0.35625975390954523,0.0,0.0,0.027677601293574286
2020-05-14,12.8,12.8,12.8,12.5,105070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3562597539095454,DANGSUG,12.8,12.78786386976159,12.765,12.683552865819387,12.515,12.295479085442892,10.928999999999998,11.8022636453494,0.022772672792648833,0.17119590081434738,0.5234842454456654,0.5558953619066579,-0.032411116460992484,12.515,13.108916527893731,11.92108347210627,0.0949127491640001,0.7399327065460916,100.0,0.4464285714285717,0.03487723214285716,585174.5,0.1795532785519533,0.0,0.1391761264665227,0.35625975390954523,0.5472960271007902,0.6977468360177794,0.6779169627541309,0.09111329635185797,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46160341031509095,0.5448112968696096,0.605699013393008,0.605699013393008,0.6122203674515646,69.56521739130439,69.56521739130439,69.56521739130439,69.56521739130439,85.85858585858587,0.5465599259855907,0.5680629229513041,0.587245832926433,0.6147633631485832,0.5829503674419936,0.4500000000000002,0.48214285714285726,0.4642857142857144,0.4142857142857145,0.6214285714285712,0.09359509327466947,0.10776943460055291,0.16414442776507968,0.34804166731931924,0.5714535098723877,0.0,0.0,0.0,0.0,3,5,2,2020,0,0,14,0,0,0,1,0,1,0,0.03440726373205363,0,-0.1495016611295681,-0.20265780730897015,0.21674644208085395,0.0,0.0,0.043762130128857574
2020-05-15,12.8,12.8,12.8,12.1,57140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2167464420808541,DANGSUG,12.8,12.791909246507728,12.8,12.704725072034044,12.5375,12.343528696353093,10.967,11.841390561218052,0.020937188434695997,0.16713777696726545,0.49943937612868083,0.5446041647510624,-0.0451647886223816,12.5375,13.139142488701227,11.935857511298773,0.09597487357148189,0.7181528107885656,100.0,0.4964285714285718,0.038783482142857165,474031.5,0.1205405126030654,0.0,0.1391761264665227,0.21674644208085395,0.5472960271007902,0.7223474699202047,0.7250866001219399,0.12346394408021164,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35625975390954523,0.46160341031509095,0.5448112968696096,0.605699013393008,0.6122203674515646,100.0,69.56521739130439,69.56521739130439,69.56521739130439,82.92682926829269,0.5234842454456654,0.5465599259855907,0.5680629229513041,0.6031884440884863,0.5850720450526463,0.4464285714285717,0.4500000000000002,0.48214285714285726,0.4000000000000001,0.5857142857142856,0.0949127491640001,0.09359509327466947,0.10776943460055291,0.2492084046851071,0.5455492465652895,0.0,0.0,0.0,0.0,4,5,2,2020,0,0,15,0,0,0,0,1,1,0,0.03440726373205363,0,-0.1495016611295681,-0.20265780730897015,0.19080651967338116,0.0,0.0,0.043762130128857574
2020-05-18,12.8,12.8,13.0,12.5,137390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1908065196733812,DANGSUG,12.8,12.794606164338486,12.8,12.722047786209673,12.559999999999999,12.387002153843277,11.005,11.87898308822911,0.01910828025477723,0.1631076783280327,0.47490918648000324,0.5306651690968506,-0.05575598261684733,12.559999999999999,13.165761808321662,11.954238191678336,0.09645888667542409,0.6980976653719316,100.0,0.48571428571428604,0.037946428571428596,456708.5,0.30082645713841544,0.0,0.0,0.19080651967338116,0.5472960271007902,0.5231565270859296,0.5364802911722963,0.14809207166855545,0,-1,0.0,0.0,0.0,0.0,0.0277245480148549,0.0,0.0,0.0,0.0,0.0007686505626279,0.21674644208085395,0.35625975390954523,0.46160341031509095,0.605699013393008,0.610935166477321,100.0,100.0,69.56521739130439,69.56521739130439,80.00000000000003,0.49943937612868083,0.5234842454456654,0.5465599259855907,0.587245832926433,0.6079870683082564,0.4964285714285718,0.4464285714285717,0.4500000000000002,0.4642857142857144,0.5428571428571429,0.09597487357148189,0.0949127491640001,0.09359509327466947,0.16414442776507968,0.5136755926420348,0.0,0.0,0.0,0.0,0,5,2,2020,0,0,18,1,0,0,0,0,1,0,0.03440726373205363,0,-0.1495016611295681,-0.20265780730897015,0.19080651967338116,0.0,0.0,0.637686607103135
2020-05-19,12.8,12.8,13.0,12.65,267400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1908065196733812,DANGSUG,12.8,12.796404109558992,12.8,12.736220915989733,12.5825,12.42633528204868,11.043000000000001,11.915101398494635,0.017285912974369256,0.15910531558453314,0.450278306425,0.5145877965624804,-0.06430949013748044,12.5825,13.188847998048084,11.976152001951915,0.0963795744960198,0.6793524516450642,100.0,0.4785714285714289,0.037388392857142884,457422.5,0.5845799015133711,0.0,0.0,0.19080651967338116,0.5413401849270998,0.3456110082914083,0.3820657850296824,0.16513956187359616,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19080651967338116,0.21674644208085395,0.35625975390954523,0.5448112968696096,0.605699013393008,100.0,100.0,100.0,69.56521739130439,72.00000000000003,0.47490918648000324,0.49943937612868083,0.5234842454456654,0.5680629229513041,0.6190118065477428,0.48571428571428604,0.4964285714285718,0.4464285714285717,0.48214285714285726,0.48214285714285726,0.09645888667542409,0.09597487357148189,0.0949127491640001,0.10776943460055291,0.47189386084129714,0.0,0.0,0.0,0.0,1,5,2,2020,0,0,19,0,1,0,0,0,1,0,0.03440726373205363,0,-0.1495016611295681,-0.20265780730897015,0.19084571276343346,1.5199397090596703e-05,0.0038986404156573,0.637686607103135
2020-05-20,12.85,12.8,12.85,12.8,1910000.0,0.39,0.00390625,0.0038986404156573,1.5199397090596703e-05,0.0038986404156573,0.0276776012935744,0.1908457127634335,DANGSUG,12.809999999999999,12.814269406372663,12.805000000000001,12.756908022173416,12.6075,12.466684302805948,11.08,11.951764088749748,0.019234582589728315,0.15974729241877253,0.4298378356534176,0.4976378043806679,-0.0677999687272503,12.6075,13.214715387087535,12.000284612912465,0.09632605783661081,0.6996820281211362,100.0,0.4821428571428574,0.03752084491384104,522740.0,3.653824080804989,0.027677601293574286,0.019571019561663936,0.19084571276343346,0.5413797093363399,0.330905789024826,0.33299614186356497,0.17680921388187107,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19080651967338116,0.19080651967338116,0.21674644208085395,0.46160341031509095,0.605699013393008,100.0,100.0,100.0,69.56521739130439,53.33333333333338,0.450278306425,0.47490918648000324,0.49943937612868083,0.5465599259855907,0.6205951563758543,0.4785714285714289,0.48571428571428604,0.4964285714285718,0.4500000000000002,0.41071428571428586,0.0963795744960198,0.09645888667542409,0.09597487357148189,0.09359509327466947,0.4181767027364916,0.0,0.0,0.0,0.0,2,5,2,2020,0,0,20,0,0,1,0,0,1,0,0.09436358947688624,0,-0.14617940199335555,-0.20265780730897015,0.19180759306281753,1.5199397090595726e-05,0.0038986404156571,0.9636059667229558
